input_group,alternative,criterion,cluster,value,parameter,source_file,locator,note
subcriterion_weight,,C11,VRC,0.138,,NP06_Gurbuz_2012,"PDF p7 (article p212), Table 6",Normalized sub-criterion weight from ANP limit supermatrix
subcriterion_weight,,C12,VRC,0.473,,NP06_Gurbuz_2012,"PDF p7 (article p212), Table 6",Normalized sub-criterion weight from ANP limit supermatrix
subcriterion_weight,,C13,VRC,0.065,,NP06_Gurbuz_2012,"PDF p7 (article p212), Table 6",Normalized sub-criterion weight from ANP limit supermatrix
subcriterion_weight,,C14,VRC,0.235,,NP06_Gurbuz_2012,"PDF p7 (article p212), Table 6",Normalized sub-criterion weight from ANP limit supermatrix
subcriterion_weight,,C15,VRC,0.045,,NP06_Gurbuz_2012,"PDF p7 (article p212), Table 6",Normalized sub-criterion weight from ANP limit supermatrix
subcriterion_weight,,C16,VRC,0.044,,NP06_Gurbuz_2012,"PDF p7 (article p212), Table 6",Normalized sub-criterion weight from ANP limit supermatrix
subcriterion_weight,,C21,CRC,0.422,,NP06_Gurbuz_2012,"PDF p7 (article p212), Table 6",Normalized sub-criterion weight from ANP limit supermatrix
subcriterion_weight,,C22,CRC,0.049,,NP06_Gurbuz_2012,"PDF p7 (article p212), Table 6",Normalized sub-criterion weight from ANP limit supermatrix
subcriterion_weight,,C23,CRC,0.202,,NP06_Gurbuz_2012,"PDF p7 (article p212), Table 6",Normalized sub-criterion weight from ANP limit supermatrix
subcriterion_weight,,C24,CRC,0.327,,NP06_Gurbuz_2012,"PDF p7 (article p212), Table 6",Normalized sub-criterion weight from ANP limit supermatrix
subcriterion_weight,,C31,SRC,0.099,,NP06_Gurbuz_2012,"PDF p7 (article p212), Table 6",Normalized sub-criterion weight from ANP limit supermatrix
subcriterion_weight,,C32,SRC,0.276,,NP06_Gurbuz_2012,"PDF p7 (article p212), Table 6",Normalized sub-criterion weight from ANP limit supermatrix
subcriterion_weight,,C33,SRC,0.238,,NP06_Gurbuz_2012,"PDF p7 (article p212), Table 6",Normalized sub-criterion weight from ANP limit supermatrix
subcriterion_weight,,C34,SRC,0.159,,NP06_Gurbuz_2012,"PDF p7 (article p212), Table 6",Normalized sub-criterion weight from ANP limit supermatrix
subcriterion_weight,,C35,SRC,0.126,,NP06_Gurbuz_2012,"PDF p7 (article p212), Table 6",Normalized sub-criterion weight from ANP limit supermatrix
subcriterion_weight,,C36,SRC,0.102,,NP06_Gurbuz_2012,"PDF p7 (article p212), Table 6",Normalized sub-criterion weight from ANP limit supermatrix
alternative_subcriterion_performance,A1,C11,VRC,0.692,,NP06_Gurbuz_2012,"PDF p8 (article p213), Table 8",MACBETH-derived performance value
alternative_subcriterion_performance,A1,C12,VRC,0.929,,NP06_Gurbuz_2012,"PDF p8 (article p213), Table 8",MACBETH-derived performance value
