model,record_type,criterion,alternative,value,aux1,aux2
p-HFC_CE-I_Hamming,criterion_weight,C1,,0.163711961451929,0.106435869468198,
p-HFC_CE-I_Hamming,entropy,C1,A1,0.961453224097465,,
p-HFC_CE-I_Hamming,entropy,C1,A2,0.757915959679846,,
p-HFC_CE-I_Hamming,entropy,C1,A3,0.961323207818093,,
p-HFC_CE-I_Hamming,criterion_weight,C2,,0.104197363848889,0.0677429854189804,
p-HFC_CE-I_Hamming,entropy,C2,A1,0.961453224097465,,
p-HFC_CE-I_Hamming,entropy,C2,A2,0.990318052847927,,
p-HFC_CE-I_Hamming,entropy,C2,A3,0.844999766797666,,
p-HFC_CE-I_Hamming,criterion_weight,C3,,0.281229067749088,0.182838566468426,
p-HFC_CE-I_Hamming,entropy,C3,A1,0.841941099900308,,
p-HFC_CE-I_Hamming,entropy,C3,A2,0.648089976596947,,
p-HFC_CE-I_Hamming,entropy,C3,A3,0.961453224097465,,
p-HFC_CE-I_Hamming,criterion_weight,C4,,0.200890804670936,0.130607362306849,
p-HFC_CE-I_Hamming,entropy,C4,A1,0.990219796212507,,
p-HFC_CE-I_Hamming,entropy,C4,A2,0.617958116866946,,
p-HFC_CE-I_Hamming,entropy,C4,A3,1,,
p-HFC_CE-I_Hamming,criterion_weight,C5,,0.0552935985778547,0.0359486392348159,
p-HFC_CE-I_Hamming,entropy,C5,A1,0.92833543052567,,
p-HFC_CE-I_Hamming,entropy,C5,A2,0.990416309483347,,
p-HFC_CE-I_Hamming,entropy,C5,A3,0.973402342286535,,
p-HFC_CE-I_Hamming,criterion_weight,C6,,0.194677203701304,0.126567645136119,
p-HFC_CE-I_Hamming,entropy,C6,A1,0.990416309483347,,
p-HFC_CE-I_Hamming,entropy,C6,A2,0.846072928948606,,
p-HFC_CE-I_Hamming,entropy,C6,A3,0.783807826159689,,
p-HFC_CE-I_Hamming,COPRAS_components,,A1,1.73164740257443,1.45660995706634,0.340444380772444
p-HFC_CE-I_Hamming,COPRAS_components,,A2,2.56846936896267,2.37472491335733,0.483291005839014
p-HFC_CE-I_Hamming,COPRAS_components,,A3,1.6998832284629,1.16866512957633,0.176264613388542
p-HFC_CE-I_Euclidean,criterion_weight,C1,,0.163197520546797,0.143278785081966,
p-HFC_CE-I_Euclidean,entropy,C1,A1,0.961453224097465,,
p-HFC_CE-I_Euclidean,entropy,C1,A2,0.757915959679846,,
p-HFC_CE-I_Euclidean,entropy,C1,A3,0.961323207818093,,
p-HFC_CE-I_Euclidean,criterion_weight,C2,,0.1052278262145,0.0923844617633536,
p-HFC_CE-I_Euclidean,entropy,C2,A1,0.961453224097465,,
p-HFC_CE-I_Euclidean,entropy,C2,A2,0.990318052847927,,
p-HFC_CE-I_Euclidean,entropy,C2,A3,0.844999766797666,,
p-HFC_CE-I_Euclidean,criterion_weight,C3,,0.254955112729549,0.223837094337781,
p-HFC_CE-I_Euclidean,entropy,C3,A1,0.841941099900308,,
p-HFC_CE-I_Euclidean,entropy,C3,A2,0.648089976596947,,
p-HFC_CE-I_Euclidean,entropy,C3,A3,0.961453224097465,,
p-HFC_CE-I_Euclidean,criterion_weight,C4,,0.251318394529152,0.220644248247395,
p-HFC_CE-I_Euclidean,entropy,C4,A1,0.990219796212507,,
p-HFC_CE-I_Euclidean,entropy,C4,A2,0.617958116866946,,
p-HFC_CE-I_Euclidean,entropy,C4,A3,1,,
p-HFC_CE-I_Euclidean,criterion_weight,C5,,0.0506622885616967,0.0444788078291323,
p-HFC_CE-I_Euclidean,entropy,C5,A1,0.92833543052567,,
p-HFC_CE-I_Euclidean,entropy,C5,A2,0.990416309483347,,
p-HFC_CE-I_Euclidean,entropy,C5,A3,0.973402342286535,,
p-HFC_CE-I_Euclidean,criterion_weight,C6,,0.174638857418305,0.153323673271263,
p-HFC_CE-I_Euclidean,entropy,C6,A1,0.990416309483347,,
p-HFC_CE-I_Euclidean,entropy,C6,A2,0.846072928948606,,
p-HFC_CE-I_Euclidean,entropy,C6,A3,0.783807826159689,,
p-HFC_CE-I_Euclidean,COPRAS_components,,A1,1.756812711742,1.48209924824145,0.34009755102797
p-HFC_CE-I_Euclidean,COPRAS_components,,A2,2.52367714365961,2.33080915728302,0.48442138027262
p-HFC_CE-I_Euclidean,COPRAS_components,,A3,1.71951014459839,1.18709159447553,0.175481068699409
p-HFC_CE-I_Hausdorff,criterion_weight,C1,,0.170614735144799,0.242084040320154,
p-HFC_CE-I_Hausdorff,entropy,C1,A1,0.961453224097465,,
p-HFC_CE-I_Hausdorff,entropy,C1,A2,0.757915959679846,,
p-HFC_CE-I_Hausdorff,entropy,C1,A3,0.961323207818093,,
p-HFC_CE-I_Hausdorff,criterion_weight,C2,,0.10924026094502,0.155000233202334,
p-HFC_CE-I_Hausdorff,entropy,C2,A1,0.961453224097465,,
p-HFC_CE-I_Hausdorff,entropy,C2,A2,0.990318052847927,,
p-HFC_CE-I_Hausdorff,entropy,C2,A3,0.844999766797666,,
p-HFC_CE-I_Hausdorff,criterion_weight,C3,,0.24801732224193,0.351910023403053,
p-HFC_CE-I_Hausdorff,entropy,C3,A1,0.841941099900308,,
p-HFC_CE-I_Hausdorff,entropy,C3,A2,0.648089976596947,,
p-HFC_CE-I_Hausdorff,entropy,C3,A3,0.961453224097465,,
p-HFC_CE-I_Hausdorff,criterion_weight,C4,,0.269253498160241,0.382041883133054,
p-HFC_CE-I_Hausdorff,entropy,C4,A1,0.990219796212507,,
p-HFC_CE-I_Hausdorff,entropy,C4,A2,0.617958116866946,,
p-HFC_CE-I_Hausdorff,entropy,C4,A3,1,,
p-HFC_CE-I_Hausdorff,criterion_weight,C5,,0.0505073838157965,0.0716645694743295,
p-HFC_CE-I_Hausdorff,entropy,C5,A1,0.92833543052567,,
p-HFC_CE-I_Hausdorff,entropy,C5,A2,0.990416309483347,,
p-HFC_CE-I_Hausdorff,entropy,C5,A3,0.973402342286535,,
p-HFC_CE-I_Hausdorff,criterion_weight,C6,,0.152366799692215,0.216192173840311,
p-HFC_CE-I_Hausdorff,entropy,C6,A1,0.990416309483347,,
p-HFC_CE-I_Hausdorff,entropy,C6,A2,0.846072928948606,,
p-HFC_CE-I_Hausdorff,entropy,C6,A3,0.783807826159689,,
p-HFC_CE-I_Hausdorff,COPRAS_components,,A1,1.76436633450348,1.49001656062172,0.339707079275895
p-HFC_CE-I_Hausdorff,COPRAS_components,,A2,2.50851917026256,2.3166282414531,0.48568507622325
p-HFC_CE-I_Hausdorff,COPRAS_components,,A3,1.72711449523395,1.19335519792518,0.174607844500856
p-HFC_CE-II_Hamming,criterion_weight,C1,,0.165829145728643,0.055,
p-HFC_CE-II_Hamming,entropy,C1,A1,0.98,,
p-HFC_CE-II_Hamming,entropy,C1,A2,0.875,,
p-HFC_CE-II_Hamming,entropy,C1,A3,0.98,,
p-HFC_CE-II_Hamming,criterion_weight,C2,,0.105527638190955,0.035,
p-HFC_CE-II_Hamming,entropy,C2,A1,0.98,,
p-HFC_CE-II_Hamming,entropy,C2,A2,0.995,,
p-HFC_CE-II_Hamming,entropy,C2,A3,0.92,,
p-HFC_CE-II_Hamming,criterion_weight,C3,,0.28140703517588,0.0933333333333334,
p-HFC_CE-II_Hamming,entropy,C3,A1,0.92,,
p-HFC_CE-II_Hamming,entropy,C3,A2,0.82,,
p-HFC_CE-II_Hamming,entropy,C3,A3,0.98,,
p-HFC_CE-II_Hamming,criterion_weight,C4,,0.195979899497487,0.065,
p-HFC_CE-II_Hamming,entropy,C4,A1,0.995,,
p-HFC_CE-II_Hamming,entropy,C4,A2,0.81,,
p-HFC_CE-II_Hamming,entropy,C4,A3,1,,
p-HFC_CE-II_Hamming,criterion_weight,C5,,0.0552763819095478,0.0183333333333334,
p-HFC_CE-II_Hamming,entropy,C5,A1,0.963333333333333,,
p-HFC_CE-II_Hamming,entropy,C5,A2,0.995,,
p-HFC_CE-II_Hamming,entropy,C5,A3,0.986666666666667,,
p-HFC_CE-II_Hamming,criterion_weight,C6,,0.195979899497487,0.0649999999999999,
p-HFC_CE-II_Hamming,entropy,C6,A1,0.995,,
p-HFC_CE-II_Hamming,entropy,C6,A2,0.92,,
p-HFC_CE-II_Hamming,entropy,C6,A3,0.89,,
p-HFC_CE-II_Hamming,COPRAS_components,,A1,1.7290037417931,1.453945339505,0.340466781638441
p-HFC_CE-II_Hamming,COPRAS_components,,A2,2.57324603354639,2.37944468494648,0.483217736440895
p-HFC_CE-II_Hamming,COPRAS_components,,A3,1.69775022466051,1.16660997554852,0.176315481920663
p-HFC_CE-II_Euclidean,criterion_weight,C1,,0.16552359608564,0.0739932429347437,
p-HFC_CE-II_Euclidean,entropy,C1,A1,0.98,,
p-HFC_CE-II_Euclidean,entropy,C1,A2,0.875,,
p-HFC_CE-II_Euclidean,entropy,C1,A3,0.98,,
p-HFC_CE-II_Euclidean,criterion_weight,C2,,0.106698558410834,0.0476969600708473,
p-HFC_CE-II_Euclidean,entropy,C2,A1,0.98,,
p-HFC_CE-II_Euclidean,entropy,C2,A2,0.995,,
p-HFC_CE-II_Euclidean,entropy,C2,A3,0.92,,
p-HFC_CE-II_Euclidean,criterion_weight,C3,,0.255711498603149,0.114309521329882,
p-HFC_CE-II_Euclidean,entropy,C3,A1,0.92,,
p-HFC_CE-II_Euclidean,entropy,C3,A2,0.82,,
p-HFC_CE-II_Euclidean,entropy,C3,A3,0.98,,
p-HFC_CE-II_Euclidean,criterion_weight,C4,,0.245477194842421,0.109734528142544,
p-HFC_CE-II_Euclidean,entropy,C4,A1,0.995,,
p-HFC_CE-II_Euclidean,entropy,C4,A2,0.81,,
p-HFC_CE-II_Euclidean,entropy,C4,A3,1,,
p-HFC_CE-II_Euclidean,criterion_weight,C5,,0.0508023229673731,0.0227099260399664,
p-HFC_CE-II_Euclidean,entropy,C5,A1,0.963333333333333,,
p-HFC_CE-II_Euclidean,entropy,C5,A2,0.995,,
p-HFC_CE-II_Euclidean,entropy,C5,A3,0.986666666666667,,
p-HFC_CE-II_Euclidean,criterion_weight,C6,,0.175786829090584,0.0785811682275085,
p-HFC_CE-II_Euclidean,entropy,C6,A1,0.995,,
p-HFC_CE-II_Euclidean,entropy,C6,A2,0.92,,
p-HFC_CE-II_Euclidean,entropy,C6,A3,0.89,,
p-HFC_CE-II_Euclidean,COPRAS_components,,A1,1.75428411422563,1.47955200779932,0.340117534934652
p-HFC_CE-II_Euclidean,COPRAS_components,,A2,2.52822678758547,2.33530852243974,0.484356453934177
p-HFC_CE-II_Euclidean,COPRAS_components,,A3,1.71748909818889,1.18513946976094,0.175526011131171
p-HFC_CE-II_Hausdorff,criterion_weight,C1,,0.173210161662818,0.125,
p-HFC_CE-II_Hausdorff,entropy,C1,A1,0.98,,
p-HFC_CE-II_Hausdorff,entropy,C1,A2,0.875,,
p-HFC_CE-II_Hausdorff,entropy,C1,A3,0.98,,
p-HFC_CE-II_Hausdorff,criterion_weight,C2,,0.110854503464203,0.08,
p-HFC_CE-II_Hausdorff,entropy,C2,A1,0.98,,
p-HFC_CE-II_Hausdorff,entropy,C2,A2,0.995,,
p-HFC_CE-II_Hausdorff,entropy,C2,A3,0.92,,
p-HFC_CE-II_Hausdorff,criterion_weight,C3,,0.249422632794457,0.18,
p-HFC_CE-II_Hausdorff,entropy,C3,A1,0.92,,
p-HFC_CE-II_Hausdorff,entropy,C3,A2,0.82,,
p-HFC_CE-II_Hausdorff,entropy,C3,A3,0.98,,
p-HFC_CE-II_Hausdorff,criterion_weight,C4,,0.263279445727483,0.19,
p-HFC_CE-II_Hausdorff,entropy,C4,A1,0.995,,
p-HFC_CE-II_Hausdorff,entropy,C4,A2,0.81,,
p-HFC_CE-II_Hausdorff,entropy,C4,A3,1,,
p-HFC_CE-II_Hausdorff,criterion_weight,C5,,0.0508083140877599,0.0366666666666667,
p-HFC_CE-II_Hausdorff,entropy,C5,A1,0.963333333333333,,
p-HFC_CE-II_Hausdorff,entropy,C5,A2,0.995,,
p-HFC_CE-II_Hausdorff,entropy,C5,A3,0.986666666666667,,
p-HFC_CE-II_Hausdorff,criterion_weight,C6,,0.152424942263279,0.11,
p-HFC_CE-II_Hausdorff,entropy,C6,A1,0.995,,
p-HFC_CE-II_Hausdorff,entropy,C6,A2,0.92,,
p-HFC_CE-II_Hausdorff,entropy,C6,A3,0.89,,
p-HFC_CE-II_Hausdorff,COPRAS_components,,A1,1.76194337257395,1.48759264430453,0.33970810546734
p-HFC_CE-II_Hausdorff,COPRAS_components,,A2,2.51273865582208,2.32084517244339,0.485681767264965
p-HFC_CE-II_Hausdorff,COPRAS_components,,A3,1.72531797160397,1.19156218325208,0.174610127267696
