stage,basis,item,metric,value
criteria,objective,C1,weight,0.049183039470
criteria,objective,C2,weight,0.344579602579
criteria,objective,C3,weight,0.098287374813
criteria,objective,C4,weight,0.114724907905
criteria,objective,C5,weight,0.049131393280
criteria,objective,C6,weight,0.344093681952
criteria,objective,criteria_matrix,lambda,0.001912654818
criteria,objective,criteria_matrix,objective,0.998087345211
local_system,C1,matrix,lambda,0.613508354345
local_system,C1,matrix,objective,0.149515377964
local_system,C1,S1,weight,0.351329932048
local_system,C1,S2,weight,0.229680652826
local_system,C1,S3,weight,0.268836531830
local_system,C1,S4,weight,0.150152883295
local_system,C2,matrix,lambda,0.730660826138
local_system,C2,matrix,objective,0.072607724367
local_system,C2,S1,weight,0.259139932748
local_system,C2,S2,weight,0.312357830029
local_system,C2,S3,weight,0.312357830065
local_system,C2,S4,weight,0.116144407158
local_system,C3,matrix,lambda,0.002479443456
local_system,C3,matrix,objective,0.997520556571
local_system,C3,S1,weight,0.115365604202
local_system,C3,S2,weight,0.115459161735
local_system,C3,S3,weight,0.192142569788
local_system,C3,S4,weight,0.577032664274
local_system,C4,matrix,lambda,0.270544638768
local_system,C4,matrix,objective,0.532810767876
local_system,C4,S1,weight,0.410414750347
local_system,C4,S2,weight,0.152591949273
local_system,C4,S3,weight,0.340401555617
local_system,C4,S4,weight,0.096591744764
local_system,C5,matrix,lambda,0.613388042357
local_system,C5,matrix,objective,0.149561921136
local_system,C5,S1,weight,0.239039270995
local_system,C5,S2,weight,0.156267228701
local_system,C5,S3,weight,0.239039270991
local_system,C5,S4,weight,0.365654229314
local_system,C6,matrix,lambda,0.001296538427
local_system,C6,matrix,objective,0.998703461696
local_system,C6,S1,weight,0.111065236982
local_system,C6,S2,weight,0.111103037096
local_system,C6,S3,weight,0.111152971976
local_system,C6,S4,weight,0.666678753945
global_system,all_criteria,S1,weight,0.214958764533
global_system,all_criteria,S2,weight,0.193690284560
global_system,all_criteria,S3,weight,0.228783428415
global_system,all_criteria,S4,weight,0.362567522491
