input_group,alternative,criterion,manager,value,value_low,value_high,direction,source_file,locator,note
manager_rating,SFT-1,RS,Mang-1,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!C3,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,IC,Mang-1,5,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!D3,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,SFR,Mang-1,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!E3,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,EU,Mang-1,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!F3,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,EIS,Mang-1,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!G3,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,SR,Mang-1,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!H3,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,PC,Mang-1,9,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!I3,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,F,Mang-1,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!J3,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,CMI,Mang-1,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!K3,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,QSS,Mang-1,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!L3,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,MSC,Mang-1,9,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!M3,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,CS,Mang-1,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!N3,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,RS,Mang-1,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!C4,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,IC,Mang-1,5,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!D4,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,SFR,Mang-1,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!E4,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,EU,Mang-1,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!F4,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,EIS,Mang-1,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!G4,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,SR,Mang-1,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!H4,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,PC,Mang-1,6,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!I4,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,F,Mang-1,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!J4,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,CMI,Mang-1,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!K4,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,QSS,Mang-1,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!L4,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,MSC,Mang-1,7,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!M4,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-2,CS,Mang-1,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!N4,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,RS,Mang-1,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!C5,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,IC,Mang-1,6,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!D5,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,SFR,Mang-1,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!E5,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,EU,Mang-1,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!F5,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,EIS,Mang-1,5,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!G5,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,SR,Mang-1,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!H5,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,PC,Mang-1,6,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!I5,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,F,Mang-1,6,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!J5,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,CMI,Mang-1,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!K5,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,QSS,Mang-1,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!L5,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,MSC,Mang-1,7,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!M5,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,CS,Mang-1,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!N5,1–9 alternative performance rating; public raw supplement
