input_id,kind,criterion,weight,direction,A1,A2,A3,parameter,parameter_value,source_status,source_locator
K1,criterion,K1,0.1,min,110000,77500,164000,,,SOURCE_EXPLICIT,"PDF pp.9–10, Tables 1–3"
K2,criterion,K2,0.1,min,130000,90000,32250,,,SOURCE_EXPLICIT,"PDF pp.9–10, Tables 1–3"
K3,criterion,K3,0.025,min,15000,5500,5500,,,SOURCE_EXPLICIT,"PDF pp.9–10, Tables 1–3"
K4,criterion,K4,0.1,min,19800,11625,24600,,,SOURCE_EXPLICIT,"PDF pp.9–10, Tables 1–3"
K5,criterion,K5,0.075,min,900,600,1250,,,SOURCE_EXPLICIT,"PDF pp.9–10, Tables 1–3"
K6,criterion,K6,0.05,max,75,80,50,,,SOURCE_EXPLICIT,"PDF pp.9–10, Tables 1–3"
K7,criterion,K7,0.0125,max,90,70,5,,,SOURCE_EXPLICIT,"PDF pp.9–10, Tables 1–3"
K8,criterion,K8,0.025,max,70,90,25,,,SOURCE_EXPLICIT,"PDF pp.9–10, Tables 1–3"
K9,criterion,K9,0.025,max,60,90,50,,,SOURCE_EXPLICIT,"PDF pp.9–10, Tables 1–3"
K10,criterion,K10,0.0125,max,70,85,75,,,SOURCE_EXPLICIT,"PDF pp.9–10, Tables 1–3"
K11,criterion,K11,0.0125,max,70,90,50,,,SOURCE_EXPLICIT,"PDF pp.9–10, Tables 1–3"
K12,criterion,K12,0.025,max,80,90,20,,,SOURCE_EXPLICIT,"PDF pp.9–10, Tables 1–3"
K13,criterion,K13,0.0125,max,80,100,60,,,SOURCE_EXPLICIT,"PDF pp.9–10, Tables 1–3"
K14,criterion,K14,0.025,max,80,90,25,,,SOURCE_EXPLICIT,"PDF pp.9–10, Tables 1–3"
K15,criterion,K15,0.1,max,10,80,5,,,SOURCE_EXPLICIT,"PDF pp.9–10, Tables 1–3"
K16,criterion,K16,0.1,max,70,100,50,,,SOURCE_EXPLICIT,"PDF pp.9–10, Tables 1–3"
K17,criterion,K17,0.1,max,10,80,5,,,SOURCE_EXPLICIT,"PDF pp.9–10, Tables 1–3"
K18,criterion,K18,0.1,max,100,80,5,,,SOURCE_EXPLICIT,"PDF pp.9–10, Tables 1–3"
Q_0.00,parameter,,,,,,,v/q,0,SOURCE_EXPLICIT,"PDF p.12, Table 6; text states v=0.5 is generally selected and reports all five values"
Q_0.25,parameter,,,,,,,v/q,0.25,SOURCE_EXPLICIT,"PDF p.12, Table 6; text states v=0.5 is generally selected and reports all five values"
Q_0.50,parameter,,,,,,,v/q,0.5,SOURCE_EXPLICIT,"PDF p.12, Table 6; text states v=0.5 is generally selected and reports all five values"
Q_0.75,parameter,,,,,,,v/q,0.75,SOURCE_EXPLICIT,"PDF p.12, Table 6; text states v=0.5 is generally selected and reports all five values"
Q_1.00,parameter,,,,,,,v/q,1.0,SOURCE_EXPLICIT,"PDF p.12, Table 6; text states v=0.5 is generally selected and reports all five values"
