scenario_id,implementation_branch,alternative,source_reported_rank,reconstructed_competition_rank,rank_match,reconstructed_terminal_score,source_reported_terminal_score,score_agreement,source_locator,comparison_class
S1,SOURCE_DEFINED_EQ31,SFT-1,6,6,YES,0.854526416906978,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S1,SOURCE_DEFINED_EQ31,SFT-2,4,4,YES,0.903010663375936,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S1,SOURCE_DEFINED_EQ31,SFT-3,5,5,YES,0.883924414960135,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S1,SOURCE_DEFINED_EQ31,SFT-4,1,1,YES,0.929469657690121,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S1,SOURCE_DEFINED_EQ31,SFT-5,2,2,YES,0.916415942139133,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S1,SOURCE_DEFINED_EQ31,SFT-6,3,3,YES,0.908781456978024,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S2,SOURCE_DEFINED_EQ31,SFT-1,6,6,YES,0.857734057367491,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S2,SOURCE_DEFINED_EQ31,SFT-2,4,4,YES,0.905129755191944,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S2,SOURCE_DEFINED_EQ31,SFT-3,5,5,YES,0.883808701968699,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S2,SOURCE_DEFINED_EQ31,SFT-4,1,1,YES,0.92724554951944,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S2,SOURCE_DEFINED_EQ31,SFT-5,2,2,YES,0.915274567985427,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S2,SOURCE_DEFINED_EQ31,SFT-6,3,3,YES,0.906000522578802,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S3,SOURCE_DEFINED_EQ31,SFT-1,6,6,YES,0.861083778938241,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S3,SOURCE_DEFINED_EQ31,SFT-2,3,3,YES,0.907523485093884,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S3,SOURCE_DEFINED_EQ31,SFT-3,5,5,YES,0.883894914099284,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S3,SOURCE_DEFINED_EQ31,SFT-4,1,1,YES,0.925103417056496,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S3,SOURCE_DEFINED_EQ31,SFT-5,2,2,YES,0.914249765791582,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S3,SOURCE_DEFINED_EQ31,SFT-6,4,4,YES,0.903344969111621,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S4,SOURCE_DEFINED_EQ31,SFT-1,6,6,YES,0.863726380146055,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S4,SOURCE_DEFINED_EQ31,SFT-2,3,3,YES,0.909260670889556,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S4,SOURCE_DEFINED_EQ31,SFT-3,5,5,YES,0.883277295929941,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S4,SOURCE_DEFINED_EQ31,SFT-4,1,1,YES,0.922060703421898,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S4,SOURCE_DEFINED_EQ31,SFT-5,2,2,YES,0.912378055134007,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S4,SOURCE_DEFINED_EQ31,SFT-6,4,4,YES,0.89987310016589,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S5,SOURCE_DEFINED_EQ31,SFT-1,6,6,YES,0.865548073717282,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S5,SOURCE_DEFINED_EQ31,SFT-2,2,2,YES,0.910250718529441,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S5,SOURCE_DEFINED_EQ31,SFT-3,5,5,YES,0.881854707418234,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S5,SOURCE_DEFINED_EQ31,SFT-4,1,1,YES,0.918009142972795,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S5,SOURCE_DEFINED_EQ31,SFT-5,3,3,YES,0.909549086425919,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S5,SOURCE_DEFINED_EQ31,SFT-6,4,4,YES,0.895484942826321,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S6,SOURCE_DEFINED_EQ31,SFT-1,6,6,YES,0.867665771366362,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S6,SOURCE_DEFINED_EQ31,SFT-2,2,2,YES,0.911734005169929,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S6,SOURCE_DEFINED_EQ31,SFT-3,5,5,YES,0.880771372155059,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S6,SOURCE_DEFINED_EQ31,SFT-4,1,1,YES,0.914151260584479,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S6,SOURCE_DEFINED_EQ31,SFT-5,3,3,YES,0.906949818570628,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S6,SOURCE_DEFINED_EQ31,SFT-6,4,4,YES,0.891331210540841,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S7,SOURCE_DEFINED_EQ31,SFT-1,6,6,YES,0.87012862327594,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
S7,SOURCE_DEFINED_EQ31,SFT-2,1,1,YES,0.913769559043189,,NE_SOURCE_RANK_ONLY_AT_EXPLICIT_LOCATOR,NP04_Cao_2024 supplement DA3!D40:AH46 / paper sensitivity Figure 2,MATCH
