scenario_id,branch,reduced_criterion,reduction_factor,affected_weight_records_vs_EQ31,terminal_rough_Y,terminal_Y_crisp,complete_weak_order,winner_set,primary_EQ31_complete_weak_order,primary_EQ31_winner_set,complete_order_changed_vs_primary,winner_set_changed_vs_primary,max_abs_terminal_score_difference_vs_primary,interpretation
S1,SOURCE_AS_PUBLISHED_WORKBOOK,PC,0.95,0,"SFT-1=[0.796246725060773,0.912806108753184];SFT-2=[0.837847182144916,0.968174144606957];SFT-3=[0.827093231129652,0.940755598790618];SFT-4=[0.858943574355943,0.999995741024299];SFT-5=[0.847940864899292,0.984891019378974];SFT-6=[0.843348780239642,0.974214133716405]",SFT-1=0.854526416906978;SFT-2=0.903010663375936;SFT-3=0.883924414960135;SFT-4=0.929469657690121;SFT-5=0.916415942139133;SFT-6=0.908781456978024,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,NO,NO,4.44089209850063e-16,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
S2,SOURCE_AS_PUBLISHED_WORKBOOK,PC,0.85,0,"SFT-1=[0.797331333355476,0.918136781379505];SFT-2=[0.836955644002095,0.973303866381793];SFT-3=[0.824811350035517,0.942806053901882];SFT-4=[0.85449524086919,0.99999585816969];SFT-5=[0.845080303413874,0.98546883255698];SFT-6=[0.83839491852074,0.973606126636863]",SFT-1=0.857734057367491;SFT-2=0.905129755191944;SFT-3=0.883808701968699;SFT-4=0.92724554951944;SFT-5=0.915274567985427;SFT-6=0.906000522578802,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,NO,NO,4.44089209850063e-16,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
S3,SOURCE_AS_PUBLISHED_WORKBOOK,PC,0.75,0,"SFT-1=[0.798501476871812,0.92366608100467];SFT-2=[0.836234186246944,0.978812783940823];SFT-3=[0.822708984398757,0.945080843799812];SFT-4=[0.850210793058753,0.999996041054239];SFT-5=[0.842389241529877,0.986110290053287];SFT-6=[0.833623435857474,0.973066502365769]",SFT-1=0.861083778938241;SFT-2=0.907523485093884;SFT-3=0.883894914099284;SFT-4=0.925103417056496;SFT-5=0.914249765791582;SFT-6=0.903344969111621,SFT-4 > SFT-5 > SFT-2 > SFT-6 > SFT-3 > SFT-1,SFT-4,SFT-4 > SFT-5 > SFT-2 > SFT-6 > SFT-3 > SFT-1,SFT-4,NO,NO,4.44089209850063e-16,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
S4,SOURCE_AS_PUBLISHED_WORKBOOK,PC,0.65,0,"SFT-1=[0.799039313577512,0.928413446714598];SFT-2=[0.834860822388456,0.983660519390657];SFT-3=[0.819985118225308,0.946569473634574];SFT-4=[0.845226532224997,0.998894874618798];SFT-5=[0.839022822135092,0.985733288132922];SFT-6=[0.828201373666891,0.97154482666489]",SFT-1=0.863726380146055;SFT-2=0.909260670889556;SFT-3=0.883277295929941;SFT-4=0.922060703421898;SFT-5=0.912378055134007;SFT-6=0.89987310016589,SFT-4 > SFT-5 > SFT-2 > SFT-6 > SFT-3 > SFT-1,SFT-4,SFT-4 > SFT-5 > SFT-2 > SFT-6 > SFT-3 > SFT-1,SFT-4,NO,NO,4.44089209850063e-16,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
S5,SOURCE_AS_PUBLISHED_WORKBOOK,PC,0.55,0,"SFT-1=[0.798830090393359,0.932266057041205];SFT-2=[0.832730920545724,0.987770516513158];SFT-3=[0.816541724880667,0.9471676899558];SFT-4=[0.839448994388781,0.996569291556809];SFT-5=[0.834881213929868,0.98421695892197];SFT-6=[0.822041252305879,0.968928633346762]",SFT-1=0.865548073717282;SFT-2=0.910250718529441;SFT-3=0.881854707418234;SFT-4=0.918009142972795;SFT-5=0.909549086425919;SFT-6=0.895484942826321,SFT-4 > SFT-2 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-4,SFT-4 > SFT-2 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-4,NO,NO,4.44089209850063e-16,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
S6,SOURCE_AS_PUBLISHED_WORKBOOK,PC,0.45,0,"SFT-1=[0.798776849595081,0.936554693137642];SFT-2=[0.830867622698585,0.992600387641274];SFT-3=[0.813360375603803,0.948182368706316];SFT-4=[0.833921933667339,0.99438058750162];SFT-5=[0.830993240631914,0.982906396509343];SFT-6=[0.816147194127868,0.966515226953813]",SFT-1=0.867665771366362;SFT-2=0.911734005169929;SFT-3=0.880771372155059;SFT-4=0.914151260584479;SFT-5=0.906949818570628;SFT-6=0.891331210540841,SFT-4 > SFT-2 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-4,SFT-4 > SFT-2 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-4,NO,NO,4.44089209850063e-16,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
S7,SOURCE_AS_PUBLISHED_WORKBOOK,PC,0.35,0,"SFT-1=[0.798895050302798,0.941362196249083];SFT-2=[0.829274906595209,0.99826421149117];SFT-3=[0.810433459859079,0.949644863540309];SFT-4=[0.82862378059749,0.992317043192863];SFT-5=[0.827345047363923,0.981795801390958];SFT-6=[0.810496517625511,0.964292411624076]",SFT-1=0.87012862327594;SFT-2=0.913769559043189;SFT-3=0.880039161699694;SFT-4=0.910470411895177;SFT-5=0.90457042437744;SFT-6=0.887394464624794,SFT-2 > SFT-4 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-2,SFT-2 > SFT-4 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-2,NO,NO,4.44089209850063e-16,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
S8,SOURCE_AS_PUBLISHED_WORKBOOK,PC,0.25,0,"SFT-1=[0.796708947053487,0.94278382419191];SFT-2=[0.825188835597862,0.999981977601155];SFT-3=[0.805196788221456,0.947311141519786];SFT-4=[0.820803292024431,0.985538417261213];SFT-5=[0.821191136250395,0.976183960980276];SFT-6=[0.802541398577804,0.957713638963711]",SFT-1=0.869746385622698;SFT-2=0.912585406599508;SFT-3=0.876253964870621;SFT-4=0.903170854642822;SFT-5=0.898687548615335;SFT-6=0.880127518770757,SFT-2 > SFT-4 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-2,SFT-2 > SFT-4 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-2,NO,NO,5.55111512312578e-16,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
S9,SOURCE_AS_PUBLISHED_WORKBOOK,PC,0.15,0,"SFT-1=[0.793515569091261,0.942695233189867];SFT-2=[0.820019156795386,0.999988466623769];SFT-3=[0.798979524296901,0.943184048323046];SFT-4=[0.811920915560582,0.976414895433433];SFT-5=[0.813955892512396,0.968339698832345];SFT-6=[0.793649804077446,0.948994948181371]",SFT-1=0.868105401140564;SFT-2=0.910003811709577;SFT-3=0.871081786309974;SFT-4=0.894167905497007;SFT-5=0.89114779567237;SFT-6=0.871322376129409,SFT-2 > SFT-4 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-2,SFT-2 > SFT-4 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-2,NO,NO,4.44089209850063e-16,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
S10,SOURCE_AS_PUBLISHED_WORKBOOK,PC,0.05,0,"SFT-1=[0.790197937650845,0.942494467343051];SFT-2=[0.814731431004721,0.999995907881072];SFT-3=[0.792677102634739,0.93871623856011];SFT-4=[0.802946764082776,0.966612896728399];SFT-5=[0.80659742010317,0.959868848365856];SFT-6=[0.784722958547626,0.939694364083625]",SFT-1=0.866346202496948;SFT-2=0.907363669442897;SFT-3=0.865696670597425;SFT-4=0.884779830405588;SFT-5=0.883233134234513;SFT-6=0.862208661315625,SFT-2 > SFT-4 > SFT-5 > SFT-1 > SFT-3 > SFT-6,SFT-2,SFT-2 > SFT-4 > SFT-5 > SFT-1 > SFT-3 > SFT-6,SFT-2,NO,NO,4.44089209850063e-16,SECONDARY_SOURCE_ARTIFACT_AUDIT_ONLY__NOT_PRIMARY_NATIVE_SENSITIVITY
