scenario_id,reduced_criterion,reduction_factor,endpoint,criterion,source_criterion_label,primary_SOURCE_DEFINED_EQ31_weight,SOURCE_AS_PUBLISHED_WORKBOOK_weight,abs_weight_diff,inconsistency_class,primary_complete_weak_order,workbook_complete_weak_order,complete_order_changed,primary_winner_set,workbook_winner_set,winner_set_changed,max_abs_terminal_score_difference_scenario,workbook_locator
S21,MSC,0.95,low,MSC,C11,0.152,0.16152380952381,0.00952380952380952,SOURCE_WORKBOOK_IMPLEMENTATION_INCONSISTENCY__REDUCED_MSC_REDISRIBUTED_AS_NON_TARGET,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4,SFT-4,NO,0.000638143504781197,DA1 S21-S30 block; C11/MSC column
S21,MSC,0.95,high,MSC,C11,0.1805,0.192228395061728,0.0117283950617284,SOURCE_WORKBOOK_IMPLEMENTATION_INCONSISTENCY__REDUCED_MSC_REDISRIBUTED_AS_NON_TARGET,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4,SFT-4,NO,0.000638143504781197,DA2 S21-S30 block; C11/MSC column
S22,MSC,0.85,low,MSC,C11,0.136,0.164571428571429,0.0285714285714286,SOURCE_WORKBOOK_IMPLEMENTATION_INCONSISTENCY__REDUCED_MSC_REDISRIBUTED_AS_NON_TARGET,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4,SFT-4,NO,0.0019602808705621,DA1 S21-S30 block; C11/MSC column
S22,MSC,0.85,high,MSC,C11,0.1615,0.196685185185185,0.0351851851851852,SOURCE_WORKBOOK_IMPLEMENTATION_INCONSISTENCY__REDUCED_MSC_REDISRIBUTED_AS_NON_TARGET,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4,SFT-4,NO,0.0019602808705621,DA2 S21-S30 block; C11/MSC column
S23,MSC,0.75,low,MSC,C11,0.12,0.167619047619048,0.0476190476190476,SOURCE_WORKBOOK_IMPLEMENTATION_INCONSISTENCY__REDUCED_MSC_REDISRIBUTED_AS_NON_TARGET,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4,SFT-4,NO,0.0033465885905658,DA1 S21-S30 block; C11/MSC column
S23,MSC,0.75,high,MSC,C11,0.1425,0.201141975308642,0.058641975308642,SOURCE_WORKBOOK_IMPLEMENTATION_INCONSISTENCY__REDUCED_MSC_REDISRIBUTED_AS_NON_TARGET,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4,SFT-4,NO,0.0033465885905658,DA2 S21-S30 block; C11/MSC column
S24,MSC,0.65,low,MSC,C11,0.104,0.170666666666667,0.0666666666666667,SOURCE_WORKBOOK_IMPLEMENTATION_INCONSISTENCY__REDUCED_MSC_REDISRIBUTED_AS_NON_TARGET,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4,SFT-4,NO,0.00480110427271019,DA1 S21-S30 block; C11/MSC column
S24,MSC,0.65,high,MSC,C11,0.1235,0.205598765432099,0.0820987654320987,SOURCE_WORKBOOK_IMPLEMENTATION_INCONSISTENCY__REDUCED_MSC_REDISRIBUTED_AS_NON_TARGET,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4,SFT-4,NO,0.00480110427271019,DA2 S21-S30 block; C11/MSC column
S25,MSC,0.55,low,MSC,C11,0.088,0.173714285714286,0.0857142857142857,SOURCE_WORKBOOK_IMPLEMENTATION_INCONSISTENCY__REDUCED_MSC_REDISRIBUTED_AS_NON_TARGET,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4,SFT-4,NO,0.00632835242441021,DA1 S21-S30 block; C11/MSC column
S25,MSC,0.55,high,MSC,C11,0.1045,0.210055555555556,0.105555555555556,SOURCE_WORKBOOK_IMPLEMENTATION_INCONSISTENCY__REDUCED_MSC_REDISRIBUTED_AS_NON_TARGET,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4,SFT-4,NO,0.00632835242441021,DA2 S21-S30 block; C11/MSC column
S26,MSC,0.45,low,MSC,C11,0.072,0.176761904761905,0.104761904761905,SOURCE_WORKBOOK_IMPLEMENTATION_INCONSISTENCY__REDUCED_MSC_REDISRIBUTED_AS_NON_TARGET,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4,SFT-4,NO,0.00793339301961227,DA1 S21-S30 block; C11/MSC column
