publication,input_group,alternative,criterion,value,unit,source_file,locator,note
NP07_Kilic_2015 Kılıç et al. 2015,criterion_weight,,Brand image,10.99,percent,NP07_Kilic_2015,"PDF p5, Table 1",ANP-derived criterion weight printed to 2 decimals (%)
NP07_Kilic_2015 Kılıç et al. 2015,criterion_weight,,Market position,4.39,percent,NP07_Kilic_2015,"PDF p5, Table 1",ANP-derived criterion weight printed to 2 decimals (%)
NP07_Kilic_2015 Kılıç et al. 2015,criterion_weight,,References,3.61,percent,NP07_Kilic_2015,"PDF p5, Table 1",ANP-derived criterion weight printed to 2 decimals (%)
NP07_Kilic_2015 Kılıç et al. 2015,criterion_weight,,Vision,1.25,percent,NP07_Kilic_2015,"PDF p5, Table 1",ANP-derived criterion weight printed to 2 decimals (%)
NP07_Kilic_2015 Kılıç et al. 2015,criterion_weight,,Implementation cost,8.67,percent,NP07_Kilic_2015,"PDF p5, Table 1",ANP-derived criterion weight printed to 2 decimals (%)
NP07_Kilic_2015 Kılıç et al. 2015,criterion_weight,,Purchasing cost,22.18,percent,NP07_Kilic_2015,"PDF p5, Table 1",ANP-derived criterion weight printed to 2 decimals (%)
NP07_Kilic_2015 Kılıç et al. 2015,criterion_weight,,Service & support cost,12.4,percent,NP07_Kilic_2015,"PDF p5, Table 1",ANP-derived criterion weight printed to 2 decimals (%)
NP07_Kilic_2015 Kılıç et al. 2015,criterion_weight,,Compatibility,10.16,percent,NP07_Kilic_2015,"PDF p5, Table 1",ANP-derived criterion weight printed to 2 decimals (%)
NP07_Kilic_2015 Kılıç et al. 2015,criterion_weight,,Cross-module integration,7.72,percent,NP07_Kilic_2015,"PDF p5, Table 1",ANP-derived criterion weight printed to 2 decimals (%)
NP07_Kilic_2015 Kılıç et al. 2015,criterion_weight,,Functionality,16.41,percent,NP07_Kilic_2015,"PDF p5, Table 1",ANP-derived criterion weight printed to 2 decimals (%)
