NP_ID,configuration_or_branch,baseline_id,baseline_role,publication_model_configuration,baseline_weight_vector,baseline_weight_labels,baseline_weight_sum,delta_values,draws_per_delta,seed,rng_algorithm,epsilon_distribution,perturbation_formula,renormalization_rule,alternatives,score_direction,baseline_winner,baseline_complete_weak_order,baseline_top2_set,exact_tie_rule,competition_top2_rule,midrank_rule,winner_retention_rule,MARD_rule,Kendall_tau_b_rule,paired_draw_group,terminal_weight_perturbation_recompute_checkpoint,special_native_rule,source_reconstruction_artifact_locator,scientific_interpretation
NP01,NP01_PRIMARY,NP01_PRIMARY,PRIMARY,"Kılıç, Zaim & Delen 2014 — Fuzzy AHP + TOPSIS — prespecified literal D3 chain",Cr1=0.149498779334; Cr2=0.041633060727; Cr3=0.094345734018; Cr4=0.052635939713; Cr5=0.066589337739; Cr6=0.055653723929; Cr7=0.074646558442; Cr8=0.100223319224; Cr9=0.041534337462; Cr10=0.102350919375; Cr11=0.151710947076; Cr12=0.069177342961,Cr1|Cr2|Cr3|Cr4|Cr5|Cr6|Cr7|Cr8|Cr9|Cr10|Cr11|Cr12,1,0.05|0.10|0.20|0.30|0.40,10000,2026082001,NumPy Generator(PCG64(seed)),"epsilon_j ~ Uniform[-delta,+delta], independently by criterion and draw",w'_j = w_j * (1 + epsilon_j),renormalize each perturbed vector to sum 1; no clipping; no outcome-based redraw/discard,A|B|C|D,HIGHER_IS_BETTER,A,A > D > C > B,A|D,ties are exact equal terminal scores and retained as sets; no arbitrary tie-break,competition rank = 1 + number strictly better; perturbed top-2 set contains all alternatives with competition rank <=2,midrank = 1 + number strictly better + (number exactly tied - 1)/2,baseline winner belongs to exact perturbed top-ranked tied set (ordinary cases only),per draw mean over alternatives of absolute perturbed midrank minus baseline midrank,pairwise Kendall tau-b between baseline and perturbed weak order with exact ties retained,,"Use unweighted 4×12 TOPSIS decision matrix / vector-normalized R; apply perturbed global weights; recompute V, PIS/NIS, distances, CC.",,results/reference/native/NP01/NP01_COMPUTED_OUTPUTS_PRECOMPARISON.csv; src/reference_implementations/native/NP01_RECONSTRUCTION.py; source NP01_Kilic_2014 Tables 2–5 and 12,stress-test frequencies under declared perturbation design; not probabilities an ERP is truly best
NP02,NP02_PRIMARY,NP02_PRIMARY,PRIMARY,Motaki & Kamach 2017 — AHP — prespecified literal D3 chain,C1_Adaptability=0.442530616744; C2_Financial=0.290640190976; C3_Simplicity=0.043198613600; C4_Provider_services=0.079679753874; C5_Implementation_approach=0.143950824804,C1_Adaptability|C2_Financial|C3_Simplicity|C4_Provider_services|C5_Implementation_approach,0.999999999998,0.05|0.10|0.20|0.30|0.40,10000,2026082002,NumPy Generator(PCG64(seed)),"epsilon_j ~ Uniform[-delta,+delta], independently by criterion and draw",w'_j = w_j * (1 + epsilon_j),renormalize each perturbed vector to sum 1; no clipping; no outcome-based redraw/discard,ERP_A|ERP_B,HIGHER_IS_BETTER,ERP_A,ERP_A > ERP_B,ERP_A|ERP_B,ties are exact equal terminal scores and retained as sets; no arbitrary tie-break,competition rank = 1 + number strictly better; perturbed top-2 set contains all alternatives with competition rank <=2,midrank = 1 + number strictly better + (number exactly tied - 1)/2,baseline winner belongs to exact perturbed top-ranked tied set (ordinary cases only),per draw mean over alternatives of absolute perturbed midrank minus baseline midrank,pairwise Kendall tau-b between baseline and perturbed weak order with exact ties retained,,Use prespecified 2×5 matrix of local alternative weights; multiply by perturbed criterion weights; recompute final weights/rank.,top-2 retention is structurally 1.0 because there are only two alternatives; mark TRIVIAL_BY_ALTERNATIVE_COUNT=YES,results/reference/native/NP02/NP02_COMPUTED_OUTPUTS_PRECOMPARISON.csv; src/reference_implementations/native/NP02_RECONSTRUCTION.py; source Tables 2 and 6–10,stress-test frequencies under declared perturbation design; not probabilities an ERP is truly best
NP03,A_STRICT_EXPLICIT_DIRECTION,NP03_A_STRICT_EXPLICIT_DIRECTION,PRIMARY,Thanh 2022 — Fuzzy AHP + TOPSIS — A_STRICT_EXPLICIT_DIRECTION (ERP03 cost only),ERP01=0.047900000000; ERP02=0.054200000000; ERP03=0.071100000000; ERP04=0.063900000000; ERP05=0.105700000000; ERP06=0.052400000000; ERP07=0.050700000000; ERP08=0.095700000000; ERP09=0.099500000000; ERP10=0.072500000000; ERP11=0.054000000000; ERP12=0.088800000000; ERP13=0.054200000000; ERP14=0.047100000000; ERP15=0.042300000000,ERP01|ERP02|ERP03|ERP04|ERP05|ERP06|ERP07|ERP08|ERP09|ERP10|ERP11|ERP12|ERP13|ERP14|ERP15,1,0.05|0.10|0.20|0.30|0.40,10000,2026082003,NumPy Generator(PCG64(seed)),"epsilon_j ~ Uniform[-delta,+delta], independently by criterion and draw",w'_j = w_j * (1 + epsilon_j),renormalize each perturbed vector to sum 1; no clipping; no outcome-based redraw/discard,ERPsys1|ERPsys2|ERPsys3|ERPsys4,HIGHER_IS_BETTER,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys3|ERPsys2,ties are exact equal terminal scores and retained as sets; no arbitrary tie-break,competition rank = 1 + number strictly better; perturbed top-2 set contains all alternatives with competition rank <=2,midrank = 1 + number strictly better + (number exactly tied - 1)/2,baseline winner belongs to exact perturbed top-ranked tied set (ordinary cases only),per draw mean over alternatives of absolute perturbed midrank minus baseline midrank,pairwise Kendall tau-b between baseline and perturbed weak order with exact ties retained,NP03_PAIRED_DIRECTIONS,Use prespecified Table-3 normalized matrix; apply perturbed weights; recompute PIS/NIS and Ci separately for both prespecified direction maps.,ERP03 cost only; use exact same perturbation-factor matrix as ERP04-cost parallel branch,results/reference/native/NP03/NP03_COMPUTED_OUTPUTS_PRECOMPARISON.csv; src/reference_implementations/native/NP03_RECONSTRUCTION.py; source Table 2 weights + Table 3 normalized matrix,stress-test frequencies under declared perturbation design; not probabilities an ERP is truly best
NP03,ERP04_COST_PARALLEL,NP03_ERP04_COST_PARALLEL,AMBIGUITY_PARALLEL,Thanh 2022 — prespecified second direction interpretation (ERP03 + ERP04 cost),ERP01=0.047900000000; ERP02=0.054200000000; ERP03=0.071100000000; ERP04=0.063900000000; ERP05=0.105700000000; ERP06=0.052400000000; ERP07=0.050700000000; ERP08=0.095700000000; ERP09=0.099500000000; ERP10=0.072500000000; ERP11=0.054000000000; ERP12=0.088800000000; ERP13=0.054200000000; ERP14=0.047100000000; ERP15=0.042300000000,ERP01|ERP02|ERP03|ERP04|ERP05|ERP06|ERP07|ERP08|ERP09|ERP10|ERP11|ERP12|ERP13|ERP14|ERP15,1,0.05|0.10|0.20|0.30|0.40,10000,2026082003,NumPy Generator(PCG64(seed)),"epsilon_j ~ Uniform[-delta,+delta], independently by criterion and draw",w'_j = w_j * (1 + epsilon_j),renormalize each perturbed vector to sum 1; no clipping; no outcome-based redraw/discard,ERPsys1|ERPsys2|ERPsys3|ERPsys4,HIGHER_IS_BETTER,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys3|ERPsys2,ties are exact equal terminal scores and retained as sets; no arbitrary tie-break,competition rank = 1 + number strictly better; perturbed top-2 set contains all alternatives with competition rank <=2,midrank = 1 + number strictly better + (number exactly tied - 1)/2,baseline winner belongs to exact perturbed top-ranked tied set (ordinary cases only),per draw mean over alternatives of absolute perturbed midrank minus baseline midrank,pairwise Kendall tau-b between baseline and perturbed weak order with exact ties retained,NP03_PAIRED_DIRECTIONS,Use prespecified Table-3 normalized matrix; apply perturbed weights; recompute PIS/NIS and Ci separately for both prespecified direction maps.,ERP03 and ERP04 cost; parallel ambiguity branch only; same perturbation factors as primary; never select branch post hoc,source Table 1 direction text + Tables 2–3,stress-test frequencies under declared perturbation design; not probabilities an ERP is truly best
NP05,p-HFC_CE-I_Hamming,NP05_ENSEMBLE_1,CO-PRIMARY_ENSEMBLE,p-HFC_CE-I_Hamming,C1=0.163711961451929; C2=0.104197363848889; C3=0.281229067749088; C4=0.200890804670936; C5=0.0552935985778547; C6=0.194677203701304,C1|C2|C3|C4|C5|C6,1,0.05|0.10|0.20|0.30|0.40,10000,2026082005,NumPy Generator(PCG64(seed)),"epsilon_j ~ Uniform[-delta,+delta], independently by criterion and draw",w'_j = w_j * (1 + epsilon_j),renormalize each perturbed vector to sum 1; no clipping; no outcome-based redraw/discard,A1|A2|A3,HIGHER_IS_BETTER,A2,A2 > A1 > A3,A2|A1,ties are exact equal terminal scores and retained as sets; no arbitrary tie-break,competition rank = 1 + number strictly better; perturbed top-2 set contains all alternatives with competition rank <=2,midrank = 1 + number strictly better + (number exactly tied - 1)/2,baseline winner belongs to exact perturbed top-ranked tied set (ordinary cases only),per draw mean over alternatives of absolute perturbed midrank minus baseline midrank,pairwise Kendall tau-b between baseline and perturbed weak order with exact ties retained,NP05_PAIRED_SIX_CONFIGS,"For each of six configurations separately, start from unweighted HFEs; apply perturbed weights via Eq.(4), recompute P-HFE scores, column normalization, benefit/cost sums, COPRAS Q and U%.",all six configurations co-primary; same perturbation-factor matrix per delta/draw index; do not pool draws or select most stable,results/reference/native/NP05/NP05_COMPUTED_OUTPUTS_PRECOMPARISON.csv (p-HFC_CE-I_Hamming); results/reference/native/NP05/NP05_INTERMEDIATES.csv; source Tables 16–17,stress-test frequencies under declared perturbation design; not probabilities an ERP is truly best
NP05,p-HFC_CE-I_Euclidean,NP05_ENSEMBLE_2,CO-PRIMARY_ENSEMBLE,p-HFC_CE-I_Euclidean,C1=0.163197520546797; C2=0.1052278262145; C3=0.254955112729549; C4=0.251318394529152; C5=0.0506622885616967; C6=0.174638857418305,C1|C2|C3|C4|C5|C6,1,0.05|0.10|0.20|0.30|0.40,10000,2026082005,NumPy Generator(PCG64(seed)),"epsilon_j ~ Uniform[-delta,+delta], independently by criterion and draw",w'_j = w_j * (1 + epsilon_j),renormalize each perturbed vector to sum 1; no clipping; no outcome-based redraw/discard,A1|A2|A3,HIGHER_IS_BETTER,A2,A2 > A1 > A3,A2|A1,ties are exact equal terminal scores and retained as sets; no arbitrary tie-break,competition rank = 1 + number strictly better; perturbed top-2 set contains all alternatives with competition rank <=2,midrank = 1 + number strictly better + (number exactly tied - 1)/2,baseline winner belongs to exact perturbed top-ranked tied set (ordinary cases only),per draw mean over alternatives of absolute perturbed midrank minus baseline midrank,pairwise Kendall tau-b between baseline and perturbed weak order with exact ties retained,NP05_PAIRED_SIX_CONFIGS,"For each of six configurations separately, start from unweighted HFEs; apply perturbed weights via Eq.(4), recompute P-HFE scores, column normalization, benefit/cost sums, COPRAS Q and U%.",all six configurations co-primary; same perturbation-factor matrix per delta/draw index; do not pool draws or select most stable,results/reference/native/NP05/NP05_COMPUTED_OUTPUTS_PRECOMPARISON.csv (p-HFC_CE-I_Euclidean); results/reference/native/NP05/NP05_INTERMEDIATES.csv; source Tables 16–17,stress-test frequencies under declared perturbation design; not probabilities an ERP is truly best
NP05,p-HFC_CE-I_Hausdorff,NP05_ENSEMBLE_3,CO-PRIMARY_ENSEMBLE,p-HFC_CE-I_Hausdorff,C1=0.170614735144799; C2=0.10924026094502; C3=0.24801732224193; C4=0.269253498160241; C5=0.0505073838157965; C6=0.152366799692215,C1|C2|C3|C4|C5|C6,1,0.05|0.10|0.20|0.30|0.40,10000,2026082005,NumPy Generator(PCG64(seed)),"epsilon_j ~ Uniform[-delta,+delta], independently by criterion and draw",w'_j = w_j * (1 + epsilon_j),renormalize each perturbed vector to sum 1; no clipping; no outcome-based redraw/discard,A1|A2|A3,HIGHER_IS_BETTER,A2,A2 > A1 > A3,A2|A1,ties are exact equal terminal scores and retained as sets; no arbitrary tie-break,competition rank = 1 + number strictly better; perturbed top-2 set contains all alternatives with competition rank <=2,midrank = 1 + number strictly better + (number exactly tied - 1)/2,baseline winner belongs to exact perturbed top-ranked tied set (ordinary cases only),per draw mean over alternatives of absolute perturbed midrank minus baseline midrank,pairwise Kendall tau-b between baseline and perturbed weak order with exact ties retained,NP05_PAIRED_SIX_CONFIGS,"For each of six configurations separately, start from unweighted HFEs; apply perturbed weights via Eq.(4), recompute P-HFE scores, column normalization, benefit/cost sums, COPRAS Q and U%.",all six configurations co-primary; same perturbation-factor matrix per delta/draw index; do not pool draws or select most stable,results/reference/native/NP05/NP05_COMPUTED_OUTPUTS_PRECOMPARISON.csv (p-HFC_CE-I_Hausdorff); results/reference/native/NP05/NP05_INTERMEDIATES.csv; source Tables 16–17,stress-test frequencies under declared perturbation design; not probabilities an ERP is truly best
NP05,p-HFC_CE-II_Hamming,NP05_ENSEMBLE_4,CO-PRIMARY_ENSEMBLE,p-HFC_CE-II_Hamming,C1=0.165829145728643; C2=0.105527638190955; C3=0.28140703517588; C4=0.195979899497487; C5=0.0552763819095478; C6=0.195979899497487,C1|C2|C3|C4|C5|C6,1,0.05|0.10|0.20|0.30|0.40,10000,2026082005,NumPy Generator(PCG64(seed)),"epsilon_j ~ Uniform[-delta,+delta], independently by criterion and draw",w'_j = w_j * (1 + epsilon_j),renormalize each perturbed vector to sum 1; no clipping; no outcome-based redraw/discard,A1|A2|A3,HIGHER_IS_BETTER,A2,A2 > A1 > A3,A2|A1,ties are exact equal terminal scores and retained as sets; no arbitrary tie-break,competition rank = 1 + number strictly better; perturbed top-2 set contains all alternatives with competition rank <=2,midrank = 1 + number strictly better + (number exactly tied - 1)/2,baseline winner belongs to exact perturbed top-ranked tied set (ordinary cases only),per draw mean over alternatives of absolute perturbed midrank minus baseline midrank,pairwise Kendall tau-b between baseline and perturbed weak order with exact ties retained,NP05_PAIRED_SIX_CONFIGS,"For each of six configurations separately, start from unweighted HFEs; apply perturbed weights via Eq.(4), recompute P-HFE scores, column normalization, benefit/cost sums, COPRAS Q and U%.",all six configurations co-primary; same perturbation-factor matrix per delta/draw index; do not pool draws or select most stable,results/reference/native/NP05/NP05_COMPUTED_OUTPUTS_PRECOMPARISON.csv (p-HFC_CE-II_Hamming); results/reference/native/NP05/NP05_INTERMEDIATES.csv; source Tables 16–17,stress-test frequencies under declared perturbation design; not probabilities an ERP is truly best
NP05,p-HFC_CE-II_Euclidean,NP05_ENSEMBLE_5,CO-PRIMARY_ENSEMBLE,p-HFC_CE-II_Euclidean,C1=0.16552359608564; C2=0.106698558410834; C3=0.255711498603149; C4=0.245477194842421; C5=0.0508023229673731; C6=0.175786829090584,C1|C2|C3|C4|C5|C6,1,0.05|0.10|0.20|0.30|0.40,10000,2026082005,NumPy Generator(PCG64(seed)),"epsilon_j ~ Uniform[-delta,+delta], independently by criterion and draw",w'_j = w_j * (1 + epsilon_j),renormalize each perturbed vector to sum 1; no clipping; no outcome-based redraw/discard,A1|A2|A3,HIGHER_IS_BETTER,A2,A2 > A1 > A3,A2|A1,ties are exact equal terminal scores and retained as sets; no arbitrary tie-break,competition rank = 1 + number strictly better; perturbed top-2 set contains all alternatives with competition rank <=2,midrank = 1 + number strictly better + (number exactly tied - 1)/2,baseline winner belongs to exact perturbed top-ranked tied set (ordinary cases only),per draw mean over alternatives of absolute perturbed midrank minus baseline midrank,pairwise Kendall tau-b between baseline and perturbed weak order with exact ties retained,NP05_PAIRED_SIX_CONFIGS,"For each of six configurations separately, start from unweighted HFEs; apply perturbed weights via Eq.(4), recompute P-HFE scores, column normalization, benefit/cost sums, COPRAS Q and U%.",all six configurations co-primary; same perturbation-factor matrix per delta/draw index; do not pool draws or select most stable,results/reference/native/NP05/NP05_COMPUTED_OUTPUTS_PRECOMPARISON.csv (p-HFC_CE-II_Euclidean); results/reference/native/NP05/NP05_INTERMEDIATES.csv; source Tables 16–17,stress-test frequencies under declared perturbation design; not probabilities an ERP is truly best
NP05,p-HFC_CE-II_Hausdorff,NP05_ENSEMBLE_6,CO-PRIMARY_ENSEMBLE,p-HFC_CE-II_Hausdorff,C1=0.173210161662818; C2=0.110854503464203; C3=0.249422632794457; C4=0.263279445727483; C5=0.0508083140877599; C6=0.152424942263279,C1|C2|C3|C4|C5|C6,1,0.05|0.10|0.20|0.30|0.40,10000,2026082005,NumPy Generator(PCG64(seed)),"epsilon_j ~ Uniform[-delta,+delta], independently by criterion and draw",w'_j = w_j * (1 + epsilon_j),renormalize each perturbed vector to sum 1; no clipping; no outcome-based redraw/discard,A1|A2|A3,HIGHER_IS_BETTER,A2,A2 > A1 > A3,A2|A1,ties are exact equal terminal scores and retained as sets; no arbitrary tie-break,competition rank = 1 + number strictly better; perturbed top-2 set contains all alternatives with competition rank <=2,midrank = 1 + number strictly better + (number exactly tied - 1)/2,baseline winner belongs to exact perturbed top-ranked tied set (ordinary cases only),per draw mean over alternatives of absolute perturbed midrank minus baseline midrank,pairwise Kendall tau-b between baseline and perturbed weak order with exact ties retained,NP05_PAIRED_SIX_CONFIGS,"For each of six configurations separately, start from unweighted HFEs; apply perturbed weights via Eq.(4), recompute P-HFE scores, column normalization, benefit/cost sums, COPRAS Q and U%.",all six configurations co-primary; same perturbation-factor matrix per delta/draw index; do not pool draws or select most stable,results/reference/native/NP05/NP05_COMPUTED_OUTPUTS_PRECOMPARISON.csv (p-HFC_CE-II_Hausdorff); results/reference/native/NP05/NP05_INTERMEDIATES.csv; source Tables 16–17,stress-test frequencies under declared perturbation design; not probabilities an ERP is truly best
