NP_ID,series,delta,declared_draws,retention_metric,retention_fraction,render_role,source_reference,denominator_metadata,ne_no_semantics,branch_configuration_label,provenance
NP01,NP01_PRIMARY,0.05,10000,baseline_winner,1.000000000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,NP01_PRIMARY,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP01,NP01_PRIMARY,0.10,10000,baseline_winner,1.000000000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,NP01_PRIMARY,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP01,NP01_PRIMARY,0.20,10000,baseline_winner,0.932500000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,NP01_PRIMARY,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP01,NP01_PRIMARY,0.30,10000,baseline_winner,0.820500000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,NP01_PRIMARY,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP01,NP01_PRIMARY,0.40,10000,baseline_winner,0.720700000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,NP01_PRIMARY,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP02,NP02_PRIMARY,0.05,10000,baseline_winner,1.000000000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,NP02_PRIMARY,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP02,NP02_PRIMARY,0.10,10000,baseline_winner,1.000000000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,NP02_PRIMARY,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP02,NP02_PRIMARY,0.20,10000,baseline_winner,1.000000000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,NP02_PRIMARY,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP02,NP02_PRIMARY,0.30,10000,baseline_winner,1.000000000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,NP02_PRIMARY,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP02,NP02_PRIMARY,0.40,10000,baseline_winner,0.999900000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,NP02_PRIMARY,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP03,A_STRICT_EXPLICIT_DIRECTION,0.05,10000,baseline_winner,1.000000000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,A_STRICT_EXPLICIT_DIRECTION,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP03,PROSPECTIVELY_PRESERVED_PLAUSIBLE_DIRECTION,0.05,10000,baseline_winner,0.726200000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,PROSPECTIVELY_PRESERVED_PLAUSIBLE_DIRECTION,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP03,A_STRICT_EXPLICIT_DIRECTION,0.10,10000,baseline_winner,1.000000000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,A_STRICT_EXPLICIT_DIRECTION,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP03,PROSPECTIVELY_PRESERVED_PLAUSIBLE_DIRECTION,0.10,10000,baseline_winner,0.597000000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,PROSPECTIVELY_PRESERVED_PLAUSIBLE_DIRECTION,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP03,A_STRICT_EXPLICIT_DIRECTION,0.20,10000,baseline_winner,1.000000000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,A_STRICT_EXPLICIT_DIRECTION,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP03,PROSPECTIVELY_PRESERVED_PLAUSIBLE_DIRECTION,0.20,10000,baseline_winner,0.485500000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,PROSPECTIVELY_PRESERVED_PLAUSIBLE_DIRECTION,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP03,A_STRICT_EXPLICIT_DIRECTION,0.30,10000,baseline_winner,0.999800000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,A_STRICT_EXPLICIT_DIRECTION,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP03,PROSPECTIVELY_PRESERVED_PLAUSIBLE_DIRECTION,0.30,10000,baseline_winner,0.433500000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,PROSPECTIVELY_PRESERVED_PLAUSIBLE_DIRECTION,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP03,A_STRICT_EXPLICIT_DIRECTION,0.40,10000,baseline_winner,0.990200000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,A_STRICT_EXPLICIT_DIRECTION,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP03,PROSPECTIVELY_PRESERVED_PLAUSIBLE_DIRECTION,0.40,10000,baseline_winner,0.411500000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,PROSPECTIVELY_PRESERVED_PLAUSIBLE_DIRECTION,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP07,KILIC_2015_PROMETHEE_II,0.05,10000,baseline_winner,0.702800000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,KILIC_2015_PROMETHEE_II,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP07,KILIC_2015_PROMETHEE_II,0.10,10000,baseline_winner,0.612500000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,KILIC_2015_PROMETHEE_II,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP07,KILIC_2015_PROMETHEE_II,0.20,10000,baseline_winner,0.546500000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,KILIC_2015_PROMETHEE_II,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP07,KILIC_2015_PROMETHEE_II,0.30,10000,baseline_winner,0.538100000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,KILIC_2015_PROMETHEE_II,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP07,KILIC_2015_PROMETHEE_II,0.40,10000,baseline_winner,0.529500000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,KILIC_2015_PROMETHEE_II,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP11,LFPP_TERMINAL_ADDITIVE_SYNTHESIS,0.05,10000,baseline_winner,1.000000000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,LFPP_TERMINAL_ADDITIVE_SYNTHESIS,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP11,LFPP_TERMINAL_ADDITIVE_SYNTHESIS,0.10,10000,baseline_winner,1.000000000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,LFPP_TERMINAL_ADDITIVE_SYNTHESIS,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP11,LFPP_TERMINAL_ADDITIVE_SYNTHESIS,0.20,10000,baseline_winner,1.000000000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,LFPP_TERMINAL_ADDITIVE_SYNTHESIS,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP11,LFPP_TERMINAL_ADDITIVE_SYNTHESIS,0.30,10000,baseline_winner,1.000000000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,LFPP_TERMINAL_ADDITIVE_SYNTHESIS,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP11,LFPP_TERMINAL_ADDITIVE_SYNTHESIS,0.40,10000,baseline_winner,1.000000000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,LFPP_TERMINAL_ADDITIVE_SYNTHESIS,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP12,VIKOR_Q050,0.05,10000,native_recommendation_set,1.000000000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,VIKOR_Q050,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP12,VIKOR_Q050,0.10,10000,native_recommendation_set,1.000000000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,VIKOR_Q050,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP12,VIKOR_Q050,0.20,10000,native_recommendation_set,1.000000000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,VIKOR_Q050,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP12,VIKOR_Q050,0.30,10000,native_recommendation_set,0.994600000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,VIKOR_Q050,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP12,VIKOR_Q050,0.40,10000,native_recommendation_set,0.980300000000,TRAJECTORY,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"10,000 draws per delta per listed branch/configuration",Only lineages applicable to the terminal-weight perturbation analysis have trajectories; absent lineages are not zeros,VIKOR_Q050,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
NP05,ALL_SIX_CO_PRIMARY_CONFIGURATIONS,0.05,10000 per configuration,baseline_winner,1.000000000000,ANNOTATION_NOT_SIX_IDENTICAL_LINES,R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY,"6 co-primary configurations × 10,000 draws per delta; no pooled lineage-wide draw denominator",not applicable,six co-primary configurations remain one lineage,results/reference/robustness/R2B/R2B_TERMINAL_WEIGHT_PERTURBATION_SUMMARY.csv
