output_type,alternative,criterion,metric,value,rank
criterion_weight,,Cr1,global_weight,0.149498779334,
criterion_weight,,Cr2,global_weight,0.041633060727,
criterion_weight,,Cr3,global_weight,0.094345734018,
criterion_weight,,Cr4,global_weight,0.052635939713,
criterion_weight,,Cr5,global_weight,0.066589337739,
criterion_weight,,Cr6,global_weight,0.055653723929,
criterion_weight,,Cr7,global_weight,0.074646558442,
criterion_weight,,Cr8,global_weight,0.100223319224,
criterion_weight,,Cr9,global_weight,0.041534337462,
criterion_weight,,Cr10,global_weight,0.102350919375,
criterion_weight,,Cr11,global_weight,0.151710947076,
criterion_weight,,Cr12,global_weight,0.069177342961,
terminal,A,,d_plus,0.043899321258,
terminal,A,,d_minus,0.065805287024,
terminal,A,,CC,0.599840681763,1
terminal,B,,d_plus,0.071121929333,
terminal,B,,d_minus,0.034407643777,
terminal,B,,CC,0.326047407973,4
terminal,C,,d_plus,0.065701175446,
terminal,C,,d_minus,0.056311692812,
terminal,C,,CC,0.461522572300,3
terminal,D,,d_plus,0.053947661158,
terminal,D,,d_minus,0.071427044866,
terminal,D,,CC,0.569708573055,2
