alternative,criterion,rough_low,rough_high,normalized_low,normalized_high,weight_low,weight_high,direction
SFT-1,EIS,7.36734693877551,8.34693877551021,0.882640586797066,1,0.026,0.03,benefit
SFT-1,SR,8.08163265306122,8.48979591836735,0.951923076923077,1,0.052,0.061,benefit
SFT-1,CMI,5.63265306122449,7.25510204081633,0.752043596730245,0.96866485013624,0.012,0.013,benefit
SFT-1,CS,5.97959183673469,7.44897959183673,0.752729608220938,0.937700706486834,0.031,0.04,benefit
SFT-1,EU,3.95918367346939,6.89795918367347,0.506527415143603,0.882506527415144,0.092,0.128,benefit
SFT-1,RS,8.3265306122449,8.81632653061225,0.944444444444444,1,0.068,0.094,benefit
SFT-1,SFR,7.78367346938775,8.49659863945578,0.916092874299439,1,0.013,0.018,benefit
SFT-1,QSS,8.08163265306122,8.48979591836735,0.951923076923077,1,0.032,0.043,benefit
SFT-1,F,8.08163265306122,8.48979591836735,0.951923076923077,1,0.049,0.075,benefit
SFT-1,IC,4.87040816326531,7.46938775510204,0.652049180327869,1,0.063,0.064,cost
SFT-1,PC,8.3265306122449,8.81632653061225,0.944444444444444,1,0.303,0.347,cost
SFT-1,MSC,8.18367346938775,8.6734693877551,0.943529411764706,1,0.16,0.19,cost
SFT-2,EIS,5.30612244897959,7.26530612244898,0.635696821515892,0.87041564792176,0.026,0.03,benefit
SFT-2,SR,5.97959183673469,7.44897959183673,0.704326923076923,0.877403846153846,0.052,0.061,benefit
SFT-2,CMI,3.5,6.39285714285714,0.467302452316076,0.853542234332425,0.012,0.013,benefit
SFT-2,CS,6.61224489795918,7.94387755102041,0.832369942196532,1,0.031,0.04,benefit
SFT-2,EU,7.3265306122449,7.81632653061224,0.93733681462141,1,0.092,0.128,benefit
SFT-2,RS,5.60408163265306,7.33673469387755,0.635648148148148,0.832175925925926,0.068,0.094,benefit
SFT-2,SFR,5.20408163265306,7.5765306122449,0.612489991993595,0.891713370696557,0.013,0.018,benefit
SFT-2,QSS,6.30612244897959,8.26530612244898,0.742788461538461,0.973557692307692,0.032,0.043,benefit
SFT-2,F,5,7.08571428571429,0.588942307692308,0.834615384615385,0.049,0.075,benefit
