model,cross_entropy,distance,alternative,U_percent,Q,rank
p-HFC_CE-I_Hamming,CE-I,Hamming,A1,67.4194297778911,1.73164740257443,2
p-HFC_CE-I_Hamming,CE-I,Hamming,A2,100,2.56846936896267,1
p-HFC_CE-I_Hamming,CE-I,Hamming,A3,66.1827331485535,1.6998832284629,3
p-HFC_CE-I_Euclidean,CE-I,Euclidean,A1,69.6132116644059,1.756812711742,2
p-HFC_CE-I_Euclidean,CE-I,Euclidean,A2,100,2.52367714365961,1
p-HFC_CE-I_Euclidean,CE-I,Euclidean,A3,68.1351078888368,1.71951014459839,3
p-HFC_CE-I_Hausdorff,CE-I,Hausdorff,A1,70.3349751287253,1.76436633450348,2
p-HFC_CE-I_Hausdorff,CE-I,Hausdorff,A2,100,2.50851917026256,1
p-HFC_CE-I_Hausdorff,CE-I,Hausdorff,A3,68.8499619898531,1.72711449523395,3
p-HFC_CE-II_Hamming,CE-II,Hamming,A1,67.1915440363167,1.7290037417931,2
p-HFC_CE-II_Hamming,CE-II,Hamming,A2,100,2.57324603354639,1
p-HFC_CE-II_Hamming,CE-II,Hamming,A3,65.9769879182797,1.69775022466051,3
p-HFC_CE-II_Euclidean,CE-II,Euclidean,A1,69.387925277899,1.75428411422563,2
p-HFC_CE-II_Euclidean,CE-II,Euclidean,A2,100,2.52822678758547,1
p-HFC_CE-II_Euclidean,CE-II,Euclidean,A3,67.9325567873262,1.71748909818889,3
p-HFC_CE-II_Hausdorff,CE-II,Hausdorff,A1,70.1204388483253,1.76194337257395,2
p-HFC_CE-II_Hausdorff,CE-II,Hausdorff,A2,100,2.51273865582208,1
p-HFC_CE-II_Hausdorff,CE-II,Hausdorff,A3,68.6628498991076,1.72531797160397,3
