record_type,alternative,item,value
criterion_performance,A1,VRC,0.885589
criterion_performance,A1,CRC,0.504205
criterion_performance,A1,SRC,0.575383
criterion_performance,A2,VRC,0.723318
criterion_performance,A2,CRC,0.595362
criterion_performance,A2,SRC,0.580404
criterion_performance,A3,VRC,0.430925
criterion_performance,A3,CRC,0.576159
criterion_performance,A3,SRC,0.493373
criterion_performance,A4,VRC,0.487746
criterion_performance,A4,CRC,0.47882
criterion_performance,A4,SRC,0.446903
capacity,,EMPTY,0
capacity,,{1},0.41665
capacity,,{2},0.1666
capacity,,{3},0.33335
capacity,,"{1,2}",0.62495
capacity,,"{1,3}",0.75
capacity,,"{2,3}",0.54165
capacity,,"{1,2,3}",1
