stage,criterion,alternative,metric,value
normalization,K1,A1,regret_normalized,0.375722543353
weighting,K1,A1,weighted_regret,0.037572254335
normalization,K1,A2,regret_normalized,-0.000000000000
weighting,K1,A2,weighted_regret,-0.000000000000
normalization,K1,A3,regret_normalized,1.000000000000
weighting,K1,A3,weighted_regret,0.100000000000
ideal,K1,,f_star,77500.000000000000
ideal,K1,,f_minus,164000.000000000000
normalization,K2,A1,regret_normalized,1.000000000000
weighting,K2,A1,weighted_regret,0.100000000000
normalization,K2,A2,regret_normalized,0.590792838875
weighting,K2,A2,weighted_regret,0.059079283887
normalization,K2,A3,regret_normalized,-0.000000000000
weighting,K2,A3,weighted_regret,-0.000000000000
ideal,K2,,f_star,32250.000000000000
ideal,K2,,f_minus,130000.000000000000
normalization,K3,A1,regret_normalized,1.000000000000
weighting,K3,A1,weighted_regret,0.025000000000
normalization,K3,A2,regret_normalized,-0.000000000000
weighting,K3,A2,weighted_regret,-0.000000000000
normalization,K3,A3,regret_normalized,-0.000000000000
weighting,K3,A3,weighted_regret,-0.000000000000
ideal,K3,,f_star,5500.000000000000
ideal,K3,,f_minus,15000.000000000000
normalization,K4,A1,regret_normalized,0.630057803468
weighting,K4,A1,weighted_regret,0.063005780347
normalization,K4,A2,regret_normalized,-0.000000000000
weighting,K4,A2,weighted_regret,-0.000000000000
normalization,K4,A3,regret_normalized,1.000000000000
weighting,K4,A3,weighted_regret,0.100000000000
ideal,K4,,f_star,11625.000000000000
ideal,K4,,f_minus,24600.000000000000
normalization,K5,A1,regret_normalized,0.461538461538
weighting,K5,A1,weighted_regret,0.034615384615
normalization,K5,A2,regret_normalized,-0.000000000000
weighting,K5,A2,weighted_regret,-0.000000000000
normalization,K5,A3,regret_normalized,1.000000000000
weighting,K5,A3,weighted_regret,0.075000000000
ideal,K5,,f_star,600.000000000000
ideal,K5,,f_minus,1250.000000000000
normalization,K6,A1,regret_normalized,0.166666666667
weighting,K6,A1,weighted_regret,0.008333333333
normalization,K6,A2,regret_normalized,0.000000000000
weighting,K6,A2,weighted_regret,0.000000000000
normalization,K6,A3,regret_normalized,1.000000000000
weighting,K6,A3,weighted_regret,0.050000000000
ideal,K6,,f_star,80.000000000000
ideal,K6,,f_minus,50.000000000000
normalization,K7,A1,regret_normalized,0.000000000000
weighting,K7,A1,weighted_regret,0.000000000000
normalization,K7,A2,regret_normalized,0.235294117647
weighting,K7,A2,weighted_regret,0.002941176471
normalization,K7,A3,regret_normalized,1.000000000000
weighting,K7,A3,weighted_regret,0.012500000000
ideal,K7,,f_star,90.000000000000
ideal,K7,,f_minus,5.000000000000
normalization,K8,A1,regret_normalized,0.307692307692
weighting,K8,A1,weighted_regret,0.007692307692
normalization,K8,A2,regret_normalized,0.000000000000
weighting,K8,A2,weighted_regret,0.000000000000
normalization,K8,A3,regret_normalized,1.000000000000
weighting,K8,A3,weighted_regret,0.025000000000
ideal,K8,,f_star,90.000000000000
ideal,K8,,f_minus,25.000000000000
normalization,K9,A1,regret_normalized,0.750000000000
weighting,K9,A1,weighted_regret,0.018750000000
normalization,K9,A2,regret_normalized,0.000000000000
weighting,K9,A2,weighted_regret,0.000000000000
normalization,K9,A3,regret_normalized,1.000000000000
weighting,K9,A3,weighted_regret,0.025000000000
ideal,K9,,f_star,90.000000000000
ideal,K9,,f_minus,50.000000000000
normalization,K10,A1,regret_normalized,1.000000000000
weighting,K10,A1,weighted_regret,0.012500000000
normalization,K10,A2,regret_normalized,0.000000000000
weighting,K10,A2,weighted_regret,0.000000000000
normalization,K10,A3,regret_normalized,0.666666666667
weighting,K10,A3,weighted_regret,0.008333333333
ideal,K10,,f_star,85.000000000000
ideal,K10,,f_minus,70.000000000000
normalization,K11,A1,regret_normalized,0.500000000000
weighting,K11,A1,weighted_regret,0.006250000000
normalization,K11,A2,regret_normalized,0.000000000000
weighting,K11,A2,weighted_regret,0.000000000000
normalization,K11,A3,regret_normalized,1.000000000000
weighting,K11,A3,weighted_regret,0.012500000000
ideal,K11,,f_star,90.000000000000
ideal,K11,,f_minus,50.000000000000
normalization,K12,A1,regret_normalized,0.142857142857
weighting,K12,A1,weighted_regret,0.003571428571
normalization,K12,A2,regret_normalized,0.000000000000
weighting,K12,A2,weighted_regret,0.000000000000
normalization,K12,A3,regret_normalized,1.000000000000
weighting,K12,A3,weighted_regret,0.025000000000
ideal,K12,,f_star,90.000000000000
ideal,K12,,f_minus,20.000000000000
normalization,K13,A1,regret_normalized,0.500000000000
weighting,K13,A1,weighted_regret,0.006250000000
normalization,K13,A2,regret_normalized,0.000000000000
weighting,K13,A2,weighted_regret,0.000000000000
normalization,K13,A3,regret_normalized,1.000000000000
weighting,K13,A3,weighted_regret,0.012500000000
ideal,K13,,f_star,100.000000000000
ideal,K13,,f_minus,60.000000000000
normalization,K14,A1,regret_normalized,0.153846153846
weighting,K14,A1,weighted_regret,0.003846153846
normalization,K14,A2,regret_normalized,0.000000000000
weighting,K14,A2,weighted_regret,0.000000000000
normalization,K14,A3,regret_normalized,1.000000000000
weighting,K14,A3,weighted_regret,0.025000000000
ideal,K14,,f_star,90.000000000000
ideal,K14,,f_minus,25.000000000000
normalization,K15,A1,regret_normalized,0.933333333333
weighting,K15,A1,weighted_regret,0.093333333333
normalization,K15,A2,regret_normalized,0.000000000000
weighting,K15,A2,weighted_regret,0.000000000000
normalization,K15,A3,regret_normalized,1.000000000000
weighting,K15,A3,weighted_regret,0.100000000000
ideal,K15,,f_star,80.000000000000
ideal,K15,,f_minus,5.000000000000
normalization,K16,A1,regret_normalized,0.600000000000
weighting,K16,A1,weighted_regret,0.060000000000
normalization,K16,A2,regret_normalized,0.000000000000
weighting,K16,A2,weighted_regret,0.000000000000
normalization,K16,A3,regret_normalized,1.000000000000
weighting,K16,A3,weighted_regret,0.100000000000
ideal,K16,,f_star,100.000000000000
ideal,K16,,f_minus,50.000000000000
normalization,K17,A1,regret_normalized,0.933333333333
weighting,K17,A1,weighted_regret,0.093333333333
normalization,K17,A2,regret_normalized,0.000000000000
weighting,K17,A2,weighted_regret,0.000000000000
normalization,K17,A3,regret_normalized,1.000000000000
weighting,K17,A3,weighted_regret,0.100000000000
ideal,K17,,f_star,80.000000000000
