q,alternative,published_Q,published_precision_dp,reconstructed_Q,abs_diff,score_compatible,published_rank,reconstructed_rank,source_locator
0.00,A1,1.0000,4,1.000000000000,0.000000000000,TRUE,2,2,"PDF p.12, Table 6 (Q); PDF p.13, Table 7 (ranks)"
0.00,A2,0.0000,4,0.000000000000,0.000000000000,TRUE,1,1,"PDF p.12, Table 6 (Q); PDF p.13, Table 7 (ranks)"
0.00,A3,1.0000,4,1.000000000000,0.000000000000,TRUE,2,2,"PDF p.12, Table 6 (Q); PDF p.13, Table 7 (ranks)"
0.25,A1,0.9058,4,0.905815244179,0.000015244179,TRUE,2,2,"PDF p.12, Table 6 (Q); PDF p.13, Table 7 (ranks)"
0.25,A2,0.0000,4,0.000000000000,0.000000000000,TRUE,1,1,"PDF p.12, Table 6 (Q); PDF p.13, Table 7 (ranks)"
0.25,A3,1.0000,4,1.000000000000,0.000000000000,TRUE,3,3,"PDF p.12, Table 6 (Q); PDF p.13, Table 7 (ranks)"
0.50,A1,0.8116,4,0.811630488358,0.000030488358,TRUE,2,2,"PDF p.12, Table 6 (Q); PDF p.13, Table 7 (ranks)"
0.50,A2,0.0000,4,0.000000000000,0.000000000000,TRUE,1,1,"PDF p.12, Table 6 (Q); PDF p.13, Table 7 (ranks)"
0.50,A3,1.0000,4,1.000000000000,0.000000000000,TRUE,3,3,"PDF p.12, Table 6 (Q); PDF p.13, Table 7 (ranks)"
0.75,A1,0.7174,4,0.717445732537,0.000045732537,TRUE,2,2,"PDF p.12, Table 6 (Q); PDF p.13, Table 7 (ranks)"
0.75,A2,0.0000,4,0.000000000000,0.000000000000,TRUE,1,1,"PDF p.12, Table 6 (Q); PDF p.13, Table 7 (ranks)"
0.75,A3,1.0000,4,1.000000000000,0.000000000000,TRUE,3,3,"PDF p.12, Table 6 (Q); PDF p.13, Table 7 (ranks)"
1.00,A1,0.6233,4,0.623260976716,0.000039023284,TRUE,2,2,"PDF p.12, Table 6 (Q); PDF p.13, Table 7 (ranks)"
1.00,A2,0.0000,4,0.000000000000,0.000000000000,TRUE,1,1,"PDF p.12, Table 6 (Q); PDF p.13, Table 7 (ranks)"
1.00,A3,1.0000,4,1.000000000000,0.000000000000,TRUE,3,3,"PDF p.12, Table 6 (Q); PDF p.13, Table 7 (ranks)"
