scenario_id,reduced_criterion,reduction_factor,eq31_max_abs_weight_diff_across_24_records,D3_PRIMARY_EXTENSION_winner_set,SOURCE_NATIVE_PUBLISHED_CHECKPOINT_winner_set,winner_set_difference,D3_PRIMARY_EXTENSION_complete_weak_order,SOURCE_NATIVE_PUBLISHED_CHECKPOINT_complete_weak_order,complete_weak_order_difference,source_reported_complete_weak_order,SOURCE_NATIVE_PUBLISHED_CHECKPOINT_vs_source_reported_order_match,D3_primary_SFT5_terminal_Y,D3_primary_SFT6_terminal_Y,source_native_SFT5_terminal_Y_4dp,source_native_SFT6_terminal_Y_4dp,source_reported_SFT5_rank,source_reported_SFT6_rank
S1,PC,0.95,3.8857805861880479e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,YES,0.916415942139133,0.908781456978024,0.9149,0.9075,2,3
S2,PC,0.85,3.6082248300317588e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,YES,0.915274567985427,0.906000522578802,0.9143,0.9053,2,3
S3,PC,0.75,4.7184478546569153e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-5 > SFT-2 > SFT-6 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-2 > SFT-6 > SFT-3 > SFT-1,NO,SFT-4 > SFT-5 > SFT-2 > SFT-6 > SFT-3 > SFT-1,YES,0.914249765791582,0.903344969111621,0.9133,0.9027,2,4
S4,PC,0.65,4.163336342344337e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-5 > SFT-2 > SFT-6 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-2 > SFT-6 > SFT-3 > SFT-1,NO,SFT-4 > SFT-5 > SFT-2 > SFT-6 > SFT-3 > SFT-1,YES,0.912378055134007,0.89987310016589,0.9117,0.8992,2,4
S5,PC,0.55,3.3306690738754696e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-2 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-4 > SFT-2 > SFT-5 > SFT-6 > SFT-3 > SFT-1,NO,SFT-4 > SFT-2 > SFT-5 > SFT-6 > SFT-3 > SFT-1,YES,0.909549086425919,0.895484942826321,0.9088,0.8951,3,4
S6,PC,0.45,4.0245584642661925e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-2 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-4 > SFT-2 > SFT-5 > SFT-6 > SFT-3 > SFT-1,NO,SFT-4 > SFT-2 > SFT-5 > SFT-6 > SFT-3 > SFT-1,YES,0.906949818570628,0.891331210540841,0.9054,0.89,3,4
S7,PC,0.35,4.4408920985006262e-16,SFT-2,SFT-2,NO,SFT-2 > SFT-4 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-2 > SFT-4 > SFT-5 > SFT-6 > SFT-3 > SFT-1,NO,SFT-2 > SFT-4 > SFT-5 > SFT-6 > SFT-3 > SFT-1,YES,0.90457042437744,0.887394464624794,0.9036,0.8867,3,4
S8,PC,0.25,4.8572257327350599e-16,SFT-2,SFT-2,NO,SFT-2 > SFT-4 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-2 > SFT-4 > SFT-5 > SFT-6 > SFT-3 > SFT-1,NO,SFT-2 > SFT-4 > SFT-5 > SFT-6 > SFT-3 > SFT-1,YES,0.898687548615335,0.880127518770757,0.8986,0.8802,3,4
S9,PC,0.15,4.9960036108132044e-16,SFT-2,SFT-2,NO,SFT-2 > SFT-4 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-2 > SFT-4 > SFT-5 > SFT-6 > SFT-3 > SFT-1,NO,SFT-2 > SFT-4 > SFT-5 > SFT-6 > SFT-3 > SFT-1,YES,0.89114779567237,0.871322376129409,0.8911,0.8714,3,4
S10,PC,0.05,3.0531133177191805e-16,SFT-2,SFT-2,NO,SFT-2 > SFT-4 > SFT-5 > SFT-1 > SFT-3 > SFT-6,SFT-2 > SFT-4 > SFT-5 > SFT-1 > SFT-3 > SFT-6,NO,SFT-2 > SFT-4 > SFT-5 > SFT-1 > SFT-3 > SFT-6,YES,0.883233134234513,0.862208661315625,0.8834,0.8625,3,6
S11,EU,0.95,3.3306690738754696e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,YES,0.917004636946315,0.910748500215116,0.9156,0.9095,2,3
S12,EU,0.85,1.3877787807814457e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,YES,0.916957857228162,0.911819867128989,0.9161,0.9108,2,3
S13,EU,0.75,4.4408920985006262e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,YES,0.916919548772722,0.912914677281592,0.9152,0.9117,2,3
S14,EU,0.65,3.0531133177191805e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,YES,0.916889441256177,0.9140331579218,0.9157,0.9128,2,3
S15,EU,0.55,4.4408920985006262e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,YES,0.916867279494226,0.915175560682191,0.9152,0.9138,2,3
S16,EU,0.45,4.4408920985006262e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 = SFT-6 > SFT-2 > SFT-3 > SFT-1,YES,SFT-4 > SFT-5 = SFT-6 > SFT-2 > SFT-3 > SFT-1,YES,0.916852822324414,0.916342161349604,0.9159,0.9159,2,2
S17,EU,0.35,4.7184478546569153e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,YES,0.916845841568789,0.917533259721062,0.9152,0.9164,3,2
S18,EU,0.25,4.4408920985006262e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,YES,0.916846121068593,0.918749179540869,0.9159,0.9178,3,2
S19,EU,0.15,4.8572257327350599e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,YES,0.916853455783502,0.919990268515379,0.9159,0.9195,3,2
S20,EU,0.05,3.8857805861880479e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4 > SFT-6 > SFT-5 > SFT-2 > SFT-3 > SFT-1,YES,0.916867650948606,0.921256898402539,0.9158,0.9204,3,2
S21,MSC,0.95,3.3306690738754696e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,YES,0.916053729254396,0.908956245331379,0.9143,0.9076,2,3
S22,MSC,0.85,3.0531133177191805e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,YES,0.914069924585901,0.906396931770275,0.9128,0.9055,2,3
S23,MSC,0.75,4.4408920985006262e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,YES,0.912044810443043,0.903795333667487,0.9109,0.9023,2,3
S24,MSC,0.65,3.3306690738754696e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,YES,0.909974406203667,0.901146343866556,0.9087,0.8998,2,3
S25,MSC,0.55,3.8857805861880479e-16,SFT-4,SFT-4,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,NO,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,YES,0.907854352897388,0.898444452306443,0.9069,0.8976,2,3
