delta,row_type,configuration,metric,value,lineage_min,lineage_median,lineage_max,paired_factor_sha256,note
0.05,CONFIGURATION,p-HFC_CE-I_Hamming,winner_retention_frequency,1.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
0.05,CONFIGURATION,p-HFC_CE-I_Euclidean,winner_retention_frequency,1.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
0.05,CONFIGURATION,p-HFC_CE-I_Hausdorff,winner_retention_frequency,1.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
0.05,CONFIGURATION,p-HFC_CE-II_Hamming,winner_retention_frequency,1.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
0.05,CONFIGURATION,p-HFC_CE-II_Euclidean,winner_retention_frequency,1.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
0.05,CONFIGURATION,p-HFC_CE-II_Hausdorff,winner_retention_frequency,1.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
0.05,LINEAGE_DESCRIPTIVE_RANGE_MEDIAN,ALL_SIX_CO_PRIMARY,winner_retention_frequency,,1.000000000000,1.000000000000,1.000000000000,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,descriptive across six co-primary configurations only; no pooled-draw inference and no most-stable selection
0.05,CONFIGURATION,p-HFC_CE-I_Hamming,baseline_top2_both_retained_frequency,1.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
0.05,CONFIGURATION,p-HFC_CE-I_Euclidean,baseline_top2_both_retained_frequency,1.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
0.05,CONFIGURATION,p-HFC_CE-I_Hausdorff,baseline_top2_both_retained_frequency,1.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
0.05,CONFIGURATION,p-HFC_CE-II_Hamming,baseline_top2_both_retained_frequency,1.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
0.05,CONFIGURATION,p-HFC_CE-II_Euclidean,baseline_top2_both_retained_frequency,1.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
0.05,CONFIGURATION,p-HFC_CE-II_Hausdorff,baseline_top2_both_retained_frequency,1.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
0.05,LINEAGE_DESCRIPTIVE_RANGE_MEDIAN,ALL_SIX_CO_PRIMARY,baseline_top2_both_retained_frequency,,1.000000000000,1.000000000000,1.000000000000,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,descriptive across six co-primary configurations only; no pooled-draw inference and no most-stable selection
0.05,CONFIGURATION,p-HFC_CE-I_Hamming,mean_baseline_top2_overlap_share,1.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
0.05,CONFIGURATION,p-HFC_CE-I_Euclidean,mean_baseline_top2_overlap_share,1.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
0.05,CONFIGURATION,p-HFC_CE-I_Hausdorff,mean_baseline_top2_overlap_share,1.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
0.05,CONFIGURATION,p-HFC_CE-II_Hamming,mean_baseline_top2_overlap_share,1.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
0.05,CONFIGURATION,p-HFC_CE-II_Euclidean,mean_baseline_top2_overlap_share,1.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
0.05,CONFIGURATION,p-HFC_CE-II_Hausdorff,mean_baseline_top2_overlap_share,1.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
0.05,LINEAGE_DESCRIPTIVE_RANGE_MEDIAN,ALL_SIX_CO_PRIMARY,mean_baseline_top2_overlap_share,,1.000000000000,1.000000000000,1.000000000000,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,descriptive across six co-primary configurations only; no pooled-draw inference and no most-stable selection
0.05,CONFIGURATION,p-HFC_CE-I_Hamming,MARD_mean,0.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
0.05,CONFIGURATION,p-HFC_CE-I_Euclidean,MARD_mean,0.000000000000,,,,8bb287a8f88030dc98a3758f1510ad776081040b6a9433aa157ec05b6b34dea7,co-primary configuration; do not interpret as independent draw pool
