NP_ID,configuration_or_branch,delta,draws,baseline_complete_weak_order,baseline_winner_or_recommendation_set,winner_retention_frequency,baseline_recommendation_set_retention_frequency,baseline_A2_in_recommendation_set_frequency,baseline_top2_both_retained_frequency,mean_baseline_top2_overlap_share,MARD_mean,MARD_median,MARD_max,MARD_p95,Kendall_tau_b_mean,Kendall_tau_b_median,Kendall_tau_b_min,Kendall_tau_b_p05,TRIVIAL_BY_ALTERNATIVE_COUNT,interpretation
NP01,NP01_PRIMARY,0.05,10000,A > D > C > B,A,1.000000000000,,,1.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000,NO,stress-test frequency under declared terminal-weight perturbation design; NOT probability ERP is truly best
NP01,NP01_PRIMARY,0.10,10000,A > D > C > B,A,1.000000000000,,,1.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000,NO,stress-test frequency under declared terminal-weight perturbation design; NOT probability ERP is truly best
NP01,NP01_PRIMARY,0.20,10000,A > D > C > B,A,0.932500000000,,,0.993700000000,0.996850000000,0.036900000000,0.000000000000,0.500000000000,0.500000000000,0.975400000000,1.000000000000,0.666666666667,0.666666666667,NO,stress-test frequency under declared terminal-weight perturbation design; NOT probability ERP is truly best
NP01,NP01_PRIMARY,0.30,10000,A > D > C > B,A,0.820500000000,,,0.938500000000,0.969250000000,0.120500000000,0.000000000000,1.000000000000,0.500000000000,0.919633333333,1.000000000000,0.000000000000,0.666666666667,NO,stress-test frequency under declared terminal-weight perturbation design; NOT probability ERP is truly best
NP01,NP01_PRIMARY,0.40,10000,A > D > C > B,A,0.720700000000,,,0.872800000000,0.936400000000,0.203650000000,0.000000000000,1.500000000000,1.000000000000,0.862633333333,1.000000000000,0.000000000000,0.333333333333,NO,stress-test frequency under declared terminal-weight perturbation design; NOT probability ERP is truly best
NP02,NP02_PRIMARY,0.05,10000,ERP_A > ERP_B,ERP_A,1.000000000000,,,1.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000,YES,stress-test frequency under declared terminal-weight perturbation design; NOT probability ERP is truly best
NP02,NP02_PRIMARY,0.10,10000,ERP_A > ERP_B,ERP_A,1.000000000000,,,1.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000,YES,stress-test frequency under declared terminal-weight perturbation design; NOT probability ERP is truly best
NP02,NP02_PRIMARY,0.20,10000,ERP_A > ERP_B,ERP_A,1.000000000000,,,1.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000,YES,stress-test frequency under declared terminal-weight perturbation design; NOT probability ERP is truly best
NP02,NP02_PRIMARY,0.30,10000,ERP_A > ERP_B,ERP_A,1.000000000000,,,1.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000,YES,stress-test frequency under declared terminal-weight perturbation design; NOT probability ERP is truly best
NP02,NP02_PRIMARY,0.40,10000,ERP_A > ERP_B,ERP_A,0.999900000000,,,1.000000000000,1.000000000000,0.000100000000,0.000000000000,1.000000000000,0.000000000000,0.999800000000,1.000000000000,-1.000000000000,1.000000000000,YES,stress-test frequency under declared terminal-weight perturbation design; NOT probability ERP is truly best
