NP_ID,configuration_or_branch,delta,distribution_type,label,count,frequency,note
NP01,NP01_PRIMARY,0.05,EXACT_WINNER_SET,A,10000,1.000000000000,
NP01,NP01_PRIMARY,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,A,10000,1.000000000000,
NP01,NP01_PRIMARY,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,B,0,0.000000000000,
NP01,NP01_PRIMARY,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,C,0,0.000000000000,
NP01,NP01_PRIMARY,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,D,0,0.000000000000,
NP01,NP01_PRIMARY,0.10,EXACT_WINNER_SET,A,10000,1.000000000000,
NP01,NP01_PRIMARY,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,A,10000,1.000000000000,
NP01,NP01_PRIMARY,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,B,0,0.000000000000,
NP01,NP01_PRIMARY,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,C,0,0.000000000000,
NP01,NP01_PRIMARY,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,D,0,0.000000000000,
NP01,NP01_PRIMARY,0.20,EXACT_WINNER_SET,A,9325,0.932500000000,
NP01,NP01_PRIMARY,0.20,EXACT_WINNER_SET,D,675,0.067500000000,
NP01,NP01_PRIMARY,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,A,9325,0.932500000000,
NP01,NP01_PRIMARY,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,B,0,0.000000000000,
NP01,NP01_PRIMARY,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,C,0,0.000000000000,
NP01,NP01_PRIMARY,0.20,MARGINAL_TOP_RANK_MEMBERSHIP,D,675,0.067500000000,
NP01,NP01_PRIMARY,0.30,EXACT_WINNER_SET,A,8205,0.820500000000,
NP01,NP01_PRIMARY,0.30,EXACT_WINNER_SET,C,96,0.009600000000,
NP01,NP01_PRIMARY,0.30,EXACT_WINNER_SET,D,1699,0.169900000000,
NP01,NP01_PRIMARY,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,A,8205,0.820500000000,
NP01,NP01_PRIMARY,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,B,0,0.000000000000,
NP01,NP01_PRIMARY,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,C,96,0.009600000000,
NP01,NP01_PRIMARY,0.30,MARGINAL_TOP_RANK_MEMBERSHIP,D,1699,0.169900000000,
NP01,NP01_PRIMARY,0.40,EXACT_WINNER_SET,A,7207,0.720700000000,
NP01,NP01_PRIMARY,0.40,EXACT_WINNER_SET,C,489,0.048900000000,
NP01,NP01_PRIMARY,0.40,EXACT_WINNER_SET,D,2304,0.230400000000,
NP01,NP01_PRIMARY,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,A,7207,0.720700000000,
NP01,NP01_PRIMARY,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,B,0,0.000000000000,
NP01,NP01_PRIMARY,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,C,489,0.048900000000,
NP01,NP01_PRIMARY,0.40,MARGINAL_TOP_RANK_MEMBERSHIP,D,2304,0.230400000000,
NP02,NP02_PRIMARY,0.05,EXACT_WINNER_SET,ERP_A,10000,1.000000000000,
NP02,NP02_PRIMARY,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,ERP_A,10000,1.000000000000,
NP02,NP02_PRIMARY,0.05,MARGINAL_TOP_RANK_MEMBERSHIP,ERP_B,0,0.000000000000,
NP02,NP02_PRIMARY,0.10,EXACT_WINNER_SET,ERP_A,10000,1.000000000000,
NP02,NP02_PRIMARY,0.10,MARGINAL_TOP_RANK_MEMBERSHIP,ERP_A,10000,1.000000000000,
