NP_ID,configuration_or_branch,applicable_deletions,winner_retained_count,winner_retention_share,top2_both_retained_count,top2_retention_share,MARD_mean,MARD_median,MARD_max,Kendall_tau_b_mean,Kendall_tau_b_median,Kendall_tau_b_min,winner_critical_deleted_criteria,deletions_causing_complete_order_change,winner_set_counts,recommendation_set_retained_count,recommendation_set_retention_share,A2_in_recommendation_set_count,A2_in_recommendation_set_share,recommendation_set_counts,top_Q_leader_counts_SECONDARY,caveat
NP01,NP01_PRIMARY,12,11,0.916666666666667,11,0.916666666666667,0.125,0,0.5,0.916666666666667,1,0.666666666666667,Cr3,Cr1|Cr3|Cr10,A:11;D:1,,,,,,,finite descriptive share of enumerated single-criterion deletions; not a probability
NP02,NP02_PRIMARY,5,4,0.8,5,1,0.2,0,1,0.6,1,-1,C1_Adaptability,C1_Adaptability,ERP_A:4;ERP_B:1,,,,,,,finite descriptive share of enumerated single-criterion deletions; not a probability
NP03,A_STRICT_EXPLICIT_DIRECTION,15,15,1,10,0.666666666666667,0.433333333333333,0.5,1,0.688888888888889,0.666666666666667,0,,ERP02|ERP03|ERP06|ERP08|ERP09|ERP11|ERP12|ERP13|ERP14,ERPsys3:15,,,,,,,finite descriptive share of enumerated single-criterion deletions; not a probability
NP03,ERP04_COST_PARALLEL,15,10,0.666666666666667,10,0.666666666666667,0.466666666666667,0.5,1.5,0.622222222222222,0.666666666666667,-0.333333333333333,ERP01|ERP05|ERP06|ERP09|ERP11,ERP01|ERP03|ERP05|ERP06|ERP08|ERP09|ERP11|ERP12,ERPsys1:1;ERPsys2:4;ERPsys3:10,,,,,,,finite descriptive share of enumerated single-criterion deletions; not a probability
NP04,NP04_PRIMARY,12,11,0.916666666666667,9,0.75,0.194444444444445,0,1.66666666666667,0.922222222222222,1,0.333333333333333,PC,EU|IC|PC,SFT-2:1;SFT-4:11,,,,,,,finite descriptive share of enumerated single-criterion deletions; not a probability
NP05,p-HFC_CE-II_Euclidean,5,5,1,1,0.2,0.533333333333334,0.666666666666667,0.666666666666667,0.466666666666666,0.333333333333333,0.333333333333333,,C1|C2|C3|C4,A2:5,,,,,,,finite descriptive share of enumerated single-criterion deletions; not a probability
NP05,p-HFC_CE-II_Hamming,5,5,1,1,0.2,0.533333333333334,0.666666666666667,0.666666666666667,0.466666666666666,0.333333333333333,0.333333333333333,,C1|C2|C3|C4,A2:5,,,,,,,finite descriptive share of enumerated single-criterion deletions; not a probability
NP05,p-HFC_CE-II_Hausdorff,5,5,1,1,0.2,0.533333333333334,0.666666666666667,0.666666666666667,0.466666666666666,0.333333333333333,0.333333333333333,,C1|C2|C3|C4,A2:5,,,,,,,finite descriptive share of enumerated single-criterion deletions; not a probability
NP05,p-HFC_CE-I_Euclidean,5,5,1,1,0.2,0.533333333333334,0.666666666666667,0.666666666666667,0.466666666666666,0.333333333333333,0.333333333333333,,C1|C2|C3|C4,A2:5,,,,,,,finite descriptive share of enumerated single-criterion deletions; not a probability
NP05,p-HFC_CE-I_Hamming,5,5,1,1,0.2,0.533333333333334,0.666666666666667,0.666666666666667,0.466666666666666,0.333333333333333,0.333333333333333,,C1|C2|C3|C4,A2:5,,,,,,,finite descriptive share of enumerated single-criterion deletions; not a probability
NP05,p-HFC_CE-I_Hausdorff,5,5,1,1,0.2,0.533333333333334,0.666666666666667,0.666666666666667,0.466666666666666,0.333333333333333,0.333333333333333,,C1|C2|C3|C4,A2:5,,,,,,,finite descriptive share of enumerated single-criterion deletions; not a probability
NP07,KILIC_2015_PROMETHEE_II,11,7,0.636363636363636,3,0.272727272727273,0.872727272727273,0.8,2,0.563636363636364,0.6,0,Implementation cost|Purchasing cost|Service & support cost|Functionality,Brand image|Market position|References|Implementation cost|Purchasing cost|Service & support cost|Compatibility|Cross-module integration|Functionality,A:4;E:7,,,,,,,finite descriptive share of enumerated single-criterion deletions; not a probability
NP12,VIKOR_Q050,18,,,,,0,0,0,1,1,1,,,,18,1,18,1,A2:18,A2:18,"native VIKOR recommendation set is primary; top-Q leader is secondary; finite deletion shares are descriptive, not probabilities"
