NP_ID,configuration_or_branch,deleted_criterion,operation_type,status,baseline_winner_retained,exact_winner_set,baseline_top2_both_retained,baseline_top2_overlap_share,MARD,Kendall_tau_b,complete_weak_order,terminal_score_vector,baseline_recommendation_set_retained,baseline_A2_in_recommendation_set,exact_native_recommendation_set,top_Q_leader_set_SECONDARY,C1_acceptable_advantage,C2_acceptable_stability,native_solver_status,native_solver_objective,method_note
NP01,NP01_PRIMARY,Cr1,NATIVE_REWEIGHTING_AFTER_DELETION,EXECUTED,YES,A,YES,1,0.5,0.666666666666667,A > D > B > C,A:CC=0.682786466056785;B:CC=0.40104599321367;C:CC=0.388501119163903;D:CC=0.515854101458397,,,,,,,,,reduced local fuzzy-AHP matrix; main-criterion weights unchanged; TOPSIS fully recomputed
NP01,NP01_PRIMARY,Cr2,NATIVE_REWEIGHTING_AFTER_DELETION,EXECUTED,YES,A,YES,1,0,1,A > D > C > B,A:CC=0.610448581677278;B:CC=0.302867647065483;C:CC=0.446192613972108;D:CC=0.593536569915007,,,,,,,,,reduced local fuzzy-AHP matrix; main-criterion weights unchanged; TOPSIS fully recomputed
NP01,NP01_PRIMARY,Cr3,NATIVE_REWEIGHTING_AFTER_DELETION,EXECUTED,NO,D,YES,1,0.5,0.666666666666667,D > A > C > B,A:CC=0.548934416715508;B:CC=0.285417746843696;C:CC=0.506646746637893;D:CC=0.605241565717056,,,,,,,,,reduced local fuzzy-AHP matrix; main-criterion weights unchanged; TOPSIS fully recomputed
NP01,NP01_PRIMARY,Cr4,NATIVE_REWEIGHTING_AFTER_DELETION,EXECUTED,YES,A,YES,1,0,1,A > D > C > B,A:CC=0.611144221330126;B:CC=0.307874446818953;C:CC=0.445467728021147;D:CC=0.596372969663105,,,,,,,,,reduced local fuzzy-AHP matrix; main-criterion weights unchanged; TOPSIS fully recomputed
NP01,NP01_PRIMARY,Cr5,NATIVE_REWEIGHTING_AFTER_DELETION,EXECUTED,YES,A,YES,1,0,1,A > D > C > B,A:CC=0.619452696421078;B:CC=0.30635138093891;C:CC=0.436792239505063;D:CC=0.599312195320838,,,,,,,,,reduced local fuzzy-AHP matrix; main-criterion weights unchanged; TOPSIS fully recomputed
NP01,NP01_PRIMARY,Cr6,NATIVE_REWEIGHTING_AFTER_DELETION,EXECUTED,YES,A,YES,1,0,1,A > D > C > B,A:CC=0.590940743729661;B:CC=0.32567757349276;C:CC=0.477996824681816;D:CC=0.556084073490002,,,,,,,,,reduced local fuzzy-AHP matrix; main-criterion weights unchanged; TOPSIS fully recomputed
NP01,NP01_PRIMARY,Cr7,NATIVE_REWEIGHTING_AFTER_DELETION,EXECUTED,YES,A,YES,1,0,1,A > D > C > B,A:CC=0.607354961894893;B:CC=0.326424408523187;C:CC=0.445290768335224;D:CC=0.583370546905331,,,,,,,,,reduced local fuzzy-AHP matrix; main-criterion weights unchanged; TOPSIS fully recomputed
NP01,NP01_PRIMARY,Cr8,NATIVE_REWEIGHTING_AFTER_DELETION,EXECUTED,YES,A,YES,1,0,1,A > D > C > B,A:CC=0.625538398580071;B:CC=0.326855133543716;C:CC=0.427277341390356;D:CC=0.598786593906658,,,,,,,,,reduced local fuzzy-AHP matrix; main-criterion weights unchanged; TOPSIS fully recomputed
NP01,NP01_PRIMARY,Cr9,NATIVE_REWEIGHTING_AFTER_DELETION,EXECUTED,YES,A,YES,1,0,1,A > D > C > B,A:CC=0.603254779885448;B:CC=0.326142805962689;C:CC=0.45736693138482;D:CC=0.573184536235261,,,,,,,,,reduced local fuzzy-AHP matrix; main-criterion weights unchanged; TOPSIS fully recomputed
NP01,NP01_PRIMARY,Cr10,NATIVE_REWEIGHTING_AFTER_DELETION,EXECUTED,YES,A,NO,0.5,0.5,0.666666666666667,A > C > D > B,A:CC=0.550593387074308;B:CC=0.356904934427496;C:CC=0.520002782290135;D:CC=0.507478565412046,,,,,,,,,reduced local fuzzy-AHP matrix; main-criterion weights unchanged; TOPSIS fully recomputed
NP01,NP01_PRIMARY,Cr11,NATIVE_REWEIGHTING_AFTER_DELETION,EXECUTED,YES,A,YES,1,0,1,A > D > C > B,A:CC=0.618433621826416;B:CC=0.362064578133788;C:CC=0.460012767902616;D:CC=0.571331749801807,,,,,,,,,reduced local fuzzy-AHP matrix; main-criterion weights unchanged; TOPSIS fully recomputed
NP01,NP01_PRIMARY,Cr12,NATIVE_REWEIGHTING_AFTER_DELETION,EXECUTED,YES,A,YES,1,0,1,A > D > C > B,A:CC=0.557445853453888;B:CC=0.344345622039942;C:CC=0.5089782949314;D:CC=0.519131271981055,,,,,,,,,reduced local fuzzy-AHP matrix; main-criterion weights unchanged; TOPSIS fully recomputed
NP02,NP02_PRIMARY,C1_Adaptability,NATIVE_REWEIGHTING_AFTER_DELETION,EXECUTED,NO,ERP_B,YES,1,1,-1,ERP_B > ERP_A,ERP_A:final_weight=0.414882643398268;ERP_B:final_weight=0.585117356601732,,,,,,,,,reduced criteria AHP matrix recomputed; retained local alternative priorities synthesized
NP02,NP02_PRIMARY,C2_Financial,NATIVE_REWEIGHTING_AFTER_DELETION,EXECUTED,YES,ERP_A,YES,1,0,1,ERP_A > ERP_B,ERP_A:final_weight=0.794076366341991;ERP_B:final_weight=0.205923633658009,,,,,,,,,reduced criteria AHP matrix recomputed; retained local alternative priorities synthesized
NP02,NP02_PRIMARY,C3_Simplicity,NATIVE_REWEIGHTING_AFTER_DELETION,EXECUTED,YES,ERP_A,YES,1,0,1,ERP_A > ERP_B,ERP_A:final_weight=0.639793417366947;ERP_B:final_weight=0.360206582633053,,,,,,,,,reduced criteria AHP matrix recomputed; retained local alternative priorities synthesized
