deleted_criterion,primary_winner_retained,parallel_winner_retained,primary_exact_winner_set,parallel_exact_winner_set,primary_complete_weak_order,parallel_complete_weak_order,primary_MARD,parallel_MARD,primary_Kendall_tau_b,parallel_Kendall_tau_b,same_winner_set_between_branches,same_complete_weak_order_between_branches,source_resolution_rule
ERP01,YES,NO,ERPsys3,ERPsys2,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys2 > ERPsys1 > ERPsys3 > ERPsys4,0,1,1,0.333333333333333,NO,NO,NONE_FROM_DELETION_OUTCOMES — source direction ambiguity remains prospectively parallel
ERP02,YES,YES,ERPsys3,ERPsys3,ERPsys3 > ERPsys4 > ERPsys2 > ERPsys1,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,1,0,0.333333333333333,1,YES,NO,NONE_FROM_DELETION_OUTCOMES — source direction ambiguity remains prospectively parallel
ERP03,YES,YES,ERPsys3,ERPsys3,ERPsys3 > ERPsys4 > ERPsys1 > ERPsys2,ERPsys3 > ERPsys4 > ERPsys1 > ERPsys2,1,1,0,0,YES,YES,NONE_FROM_DELETION_OUTCOMES — source direction ambiguity remains prospectively parallel
ERP04,YES,YES,ERPsys3,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,0,0,1,1,YES,YES,NONE_FROM_DELETION_OUTCOMES — source direction ambiguity remains prospectively parallel
ERP05,YES,NO,ERPsys3,ERPsys2,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys2 > ERPsys3 > ERPsys1 > ERPsys4,0,0.5,1,0.666666666666667,NO,NO,NONE_FROM_DELETION_OUTCOMES — source direction ambiguity remains prospectively parallel
ERP06,YES,NO,ERPsys3,ERPsys2,ERPsys3 > ERPsys2 > ERPsys4 > ERPsys1,ERPsys2 > ERPsys3 > ERPsys1 > ERPsys4,0.5,0.5,0.666666666666667,0.666666666666667,NO,NO,NONE_FROM_DELETION_OUTCOMES — source direction ambiguity remains prospectively parallel
ERP07,YES,YES,ERPsys3,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,0,0,1,1,YES,YES,NONE_FROM_DELETION_OUTCOMES — source direction ambiguity remains prospectively parallel
ERP08,YES,YES,ERPsys3,ERPsys3,ERPsys3 > ERPsys4 > ERPsys2 > ERPsys1,ERPsys3 > ERPsys4 > ERPsys2 > ERPsys1,1,1,0.333333333333333,0.333333333333333,YES,YES,NONE_FROM_DELETION_OUTCOMES — source direction ambiguity remains prospectively parallel
ERP09,YES,NO,ERPsys3,ERPsys1,ERPsys3 > ERPsys1 > ERPsys2 > ERPsys4,ERPsys1 > ERPsys2 > ERPsys4 > ERPsys3,0.5,1.5,0.666666666666667,-0.333333333333333,NO,NO,NONE_FROM_DELETION_OUTCOMES — source direction ambiguity remains prospectively parallel
ERP10,YES,YES,ERPsys3,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,0,0,1,1,YES,YES,NONE_FROM_DELETION_OUTCOMES — source direction ambiguity remains prospectively parallel
ERP11,YES,NO,ERPsys3,ERPsys2,ERPsys3 > ERPsys2 > ERPsys4 > ERPsys1,ERPsys2 > ERPsys3 > ERPsys1 > ERPsys4,0.5,0.5,0.666666666666667,0.666666666666667,NO,NO,NONE_FROM_DELETION_OUTCOMES — source direction ambiguity remains prospectively parallel
ERP12,YES,YES,ERPsys3,ERPsys3,ERPsys3 > ERPsys4 > ERPsys2 > ERPsys1,ERPsys3 > ERPsys4 > ERPsys1 > ERPsys2,1,1,0.333333333333333,0,YES,NO,NONE_FROM_DELETION_OUTCOMES — source direction ambiguity remains prospectively parallel
ERP13,YES,YES,ERPsys3,ERPsys3,ERPsys3 > ERPsys2 > ERPsys4 > ERPsys1,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,0.5,0,0.666666666666667,1,YES,NO,NONE_FROM_DELETION_OUTCOMES — source direction ambiguity remains prospectively parallel
ERP14,YES,YES,ERPsys3,ERPsys3,ERPsys3 > ERPsys2 > ERPsys4 > ERPsys1,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,0.5,0,0.666666666666667,1,YES,NO,NONE_FROM_DELETION_OUTCOMES — source direction ambiguity remains prospectively parallel
ERP15,YES,YES,ERPsys3,ERPsys3,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,ERPsys3 > ERPsys2 > ERPsys1 > ERPsys4,0,0,1,1,YES,YES,NONE_FROM_DELETION_OUTCOMES — source direction ambiguity remains prospectively parallel
