deleted_criterion,q_v,exact_native_recommendation_set,baseline_recommendation_set_retained,baseline_A2_in_recommendation_set,top_Q_leader_set_SECONDARY,complete_Q_weak_order,MARD,Kendall_tau_b,C1_acceptable_advantage,C2_acceptable_stability,Q_score_vector
K1,0.5,A2,YES,YES,A2,A2 > A1 > A3,0,1,YES,YES,A1:Q=0.829626471439056;A2:Q=0;A3:Q=1
K2,0.5,A2,YES,YES,A2,A2 > A1 > A3,0,1,YES,YES,A1:Q=0.72350669566632;A2:Q=0;A3:Q=1
K3,0.5,A2,YES,YES,A2,A2 > A1 > A3,0,1,YES,YES,A1:Q=0.795762716232281;A2:Q=0;A3:Q=1
K4,0.5,A2,YES,YES,A2,A2 > A1 > A3,0,1,YES,YES,A1:Q=0.811136360728437;A2:Q=0;A3:Q=1
K5,0.5,A2,YES,YES,A2,A2 > A1 > A3,0,1,YES,YES,A1:Q=0.820139091906226;A2:Q=0;A3:Q=1
K6,0.5,A2,YES,YES,A2,A2 > A1 > A3,0,1,YES,YES,A1:Q=0.827102801869298;A2:Q=0;A3:Q=1
K7,0.5,A2,YES,YES,A2,A2 > A1 > A3,0,1,YES,YES,A1:Q=0.817348042936493;A2:Q=0;A3:Q=1
K8,0.5,A2,YES,YES,A2,A2 > A1 > A3,0,1,YES,YES,A1:Q=0.81680198019585;A2:Q=0;A3:Q=1
K9,0.5,A2,YES,YES,A2,A2 > A1 > A3,0,1,YES,YES,A1:Q=0.809553508325155;A2:Q=0;A3:Q=1
K10,0.5,A2,YES,YES,A2,A2 > A1 > A3,0,1,YES,YES,A1:Q=0.806943609798803;A2:Q=0;A3:Q=1
K11,0.5,A2,YES,YES,A2,A2 > A1 > A3,0,1,YES,YES,A1:Q=0.81262419481057;A2:Q=0;A3:Q=1
K12,0.5,A2,YES,YES,A2,A2 > A1 > A3,0,1,YES,YES,A1:Q=0.819503274060706;A2:Q=0;A3:Q=1
K13,0.5,A2,YES,YES,A2,A2 > A1 > A3,0,1,YES,YES,A1:Q=0.81262419481057;A2:Q=0;A3:Q=1
K14,0.5,A2,YES,YES,A2,A2 > A1 > A3,0,1,YES,YES,A1:Q=0.819323187803049;A2:Q=0;A3:Q=1
K15,0.5,A2,YES,YES,A2,A2 > A1 > A3,0,1,YES,YES,A1:Q=0.789088304471987;A2:Q=0;A3:Q=1
K16,0.5,A2,YES,YES,A2,A2 > A1 > A3,0,1,YES,YES,A1:Q=0.813321555630601;A2:Q=0;A3:Q=1
K17,0.5,A2,YES,YES,A2,A2 > A1 > A3,0,1,YES,YES,A1:Q=0.789088304471987;A2:Q=0;A3:Q=1
K18,0.5,A2,YES,YES,A2,A2 > A1 > A3,0,1,YES,YES,A1:Q=0.861190427383194;A2:Q=0;A3:Q=1
