NP_ID,terminal_weight_perturbation_availability,terminal_weight_perturbation_result_descriptor,single_criterion_deletion_availability,single_criterion_deletion_operation,single_criterion_deletion_result_descriptor,native_sensitivity_availability,native_sensitivity_result,qualitative_descriptive_note,pooling_rule
NP01,APPLICABLE,NP01_PRIMARY:winner_retention@delta0.40=0.720700000000,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,retention_share=0.916666666666667; critical=1,NONE_SOURCE_DEFINED,NONE_SOURCE_DEFINED,NO_ADDITIONAL_NATIVE_SENSITIVITY_DENOMINATOR,NO_POOLING_ACROSS_DIAGNOSTICS_OR_LINEAGES
NP02,APPLICABLE,NP02_PRIMARY:winner_retention@delta0.40=0.999900000000,APPLICABLE,NATIVE_REWEIGHTING_AFTER_DELETION,retention_share=0.8; critical=1,NONE_SOURCE_DEFINED,NONE_SOURCE_DEFINED,NO_ADDITIONAL_NATIVE_SENSITIVITY_DENOMINATOR,NO_POOLING_ACROSS_DIAGNOSTICS_OR_LINEAGES
NP03,APPLICABLE,A_STRICT_EXPLICIT_DIRECTION:winner_retention@delta0.40=0.990200000000;ERP04_COST_PARALLEL:winner_retention@delta0.40=0.411500000000,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,retention_share=primary=1; parallel=0.666666666666667; critical=primary=0; parallel=5,NONE_SOURCE_DEFINED,NONE_SOURCE_DEFINED,NO_ADDITIONAL_NATIVE_SENSITIVITY_DENOMINATOR,NO_POOLING_ACROSS_DIAGNOSTICS_OR_LINEAGES
NP04,NE,NE,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,retention_share=0.916666666666667; critical=1,EXECUTED_NATIVE_SENSITIVITY,SOURCE_DEFINED_SENSITIVITY_WITH_CHECKPOINT_ROUNDING_SENSITIVE_INTERNAL_TIE__NO_WINNER_EFFECT,NATIVE_EQ31_SCENARIOS_REPORTED_SEPARATELY_FROM_SINGLE_CRITERION_DELETION; TERMINAL_WEIGHT_PERTURBATION_NE,NO_POOLING_ACROSS_DIAGNOSTICS_OR_LINEAGES
NP05,APPLICABLE,p-HFC_CE-I_Hamming:winner_retention@delta0.40=1.000000000000;p-HFC_CE-I_Euclidean:winner_retention@delta0.40=1.000000000000;p-HFC_CE-I_Hausdorff:winner_retention@delta0.40=1.000000000000;p-HFC_CE-II_Hamming:winner_retention@delta0.40=1.000000000000;p-HFC_CE-II_Euclidean:winner_retention@delta0.40=1.000000000000;p-HFC_CE-II_Hausdorff:winner_retention@delta0.40=1.000000000000,APPLICABLE_WITH_C6_NE,NATIVE_REWEIGHTING_AFTER_DELETION,retention_share=median_across_configs=1; range=1..1; critical=median_across_configs=0; range=0..0,NONE_SOURCE_DEFINED,NONE_SOURCE_DEFINED,NO_ADDITIONAL_NATIVE_SENSITIVITY_DENOMINATOR,NO_POOLING_ACROSS_DIAGNOSTICS_OR_LINEAGES
NP06,NE,NE,NE,NE,NE,PUBLICATION_REPORTED_ONLY__RECONSTRUCTION_NE,PUBLICATION_REPORTED_ONLY__RECONSTRUCTION_NE,ROBUSTNESS_AUDITABILITY_LIMITED_BY_METHOD_SOURCE_STRUCTURE,NO_POOLING_ACROSS_DIAGNOSTICS_OR_LINEAGES
NP07,APPLICABLE,KILIC_2015_PROMETHEE_II:winner_retention@delta0.40=0.529500000000,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,retention_share=0.636363636363636; critical=4,NE_METHOD_OR_SOURCE,NE_METHOD_OR_SOURCE,NO_ADDITIONAL_NATIVE_SENSITIVITY_DENOMINATOR,NO_POOLING_ACROSS_DIAGNOSTICS_OR_LINEAGES
NP08,NE,NE,NE,NE,NE,NE_METHOD_OR_SOURCE,NE_METHOD_OR_SOURCE,NO_ADDITIONAL_NATIVE_SENSITIVITY_DENOMINATOR,NO_POOLING_ACROSS_DIAGNOSTICS_OR_LINEAGES
NP09,NE,NE,NE,NE,NE,NE_METHOD_OR_SOURCE,NE_METHOD_OR_SOURCE,NO_ADDITIONAL_NATIVE_SENSITIVITY_DENOMINATOR,NO_POOLING_ACROSS_DIAGNOSTICS_OR_LINEAGES
NP10,NE,NE,NE,NE,NE,NE_METHOD_OR_SOURCE,NE_METHOD_OR_SOURCE,NO_ADDITIONAL_NATIVE_SENSITIVITY_DENOMINATOR,NO_POOLING_ACROSS_DIAGNOSTICS_OR_LINEAGES
NP11,APPLICABLE,LFPP_TERMINAL_ADDITIVE_SYNTHESIS:winner_retention@delta0.40=1.000000000000,NE,NE,NE,NONE_SOURCE_DEFINED,NONE_SOURCE_DEFINED,NO_ADDITIONAL_NATIVE_SENSITIVITY_DENOMINATOR,NO_POOLING_ACROSS_DIAGNOSTICS_OR_LINEAGES
NP12,APPLICABLE,VIKOR_Q050:recommendation_retention@delta0.40=0.980300000000,APPLICABLE,TERMINAL_POSTWEIGHT_DELETION,retention_share=1; critical=0,EXECUTED_NATIVE_SENSITIVITY,SOURCE_REPORTED_Q_SWEEP_RECONSTRUCTED,THREE_DIAGNOSTIC_CLASSES_REPORTED_DESCRIPTIVELY_WITHOUT_POOLING,NO_POOLING_ACROSS_DIAGNOSTICS_OR_LINEAGES
