scenario_id,implementation_branch,reduced_criterion,reduction_factor,weight_vector_low,weight_vector_high,terminal_rough_Y,terminal_Y_crisp,complete_weak_order,winner_set,baseline_winner_retained,baseline_top2_both_retained,MARD_vs_primary_reconstruction,Kendall_tau_b_vs_primary_reconstruction,source_comparison_status
S1,SOURCE_DEFINED_EQ31,PC,0.95,EIS=0.0265651362984218;SR=0.0531302725968436;CMI=0.0122608321377331;CS=0.0316738163558106;EU=0.0939997130559541;RS=0.0694780487804878;SFR=0.0132825681492109;QSS=0.0326955523672884;F=0.0500650645624103;IC=0.064369368723099;PC=0.28785;MSC=0.163477761836442,EIS=0.0307970903522205;SR=0.0626207503828484;CMI=0.0133454058192956;CS=0.041062787136294;EU=0.131400918836141;RS=0.096497549770291;SFR=0.0184782542113323;QSS=0.0441424961715161;F=0.0769927258805513;IC=0.0657004594180704;PC=0.32965;MSC=0.195048238897397,"SFT-1=[0.796246725060773,0.912806108753184];SFT-2=[0.837847182144916,0.968174144606957];SFT-3=[0.827093231129652,0.940755598790618];SFT-4=[0.858943574355943,0.999995741024299];SFT-5=[0.847940864899292,0.984891019378974];SFT-6=[0.843348780239642,0.974214133716405]",SFT-1=0.854526416906978;SFT-2=0.903010663375936;SFT-3=0.883924414960135;SFT-4=0.929469657690121;SFT-5=0.916415942139133;SFT-6=0.908781456978024,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,YES,YES,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S2,SOURCE_DEFINED_EQ31,PC,0.85,EIS=0.0276954088952654;SR=0.0553908177905308;CMI=0.0127824964131994;CS=0.0330214490674318;EU=0.0979991391678623;RS=0.0724341463414634;SFR=0.0138477044476327;QSS=0.0340866571018651;F=0.052195193687231;IC=0.067108106169297;PC=0.25755;MSC=0.170433285509326,EIS=0.0323912710566616;SR=0.0658622511485452;CMI=0.0140362174578867;CS=0.0431883614088821;EU=0.138202756508423;RS=0.101492649310873;SFR=0.0194347626339969;QSS=0.0464274885145482;F=0.0809781776416539;IC=0.0691013782542113;PC=0.29495;MSC=0.20514471669219,"SFT-1=[0.797331333355476,0.918136781379505];SFT-2=[0.836955644002095,0.973303866381793];SFT-3=[0.824811350035517,0.942806053901882];SFT-4=[0.85449524086919,0.99999585816969];SFT-5=[0.845080303413874,0.98546883255698];SFT-6=[0.83839491852074,0.973606126636863]",SFT-1=0.857734057367491;SFT-2=0.905129755191944;SFT-3=0.883808701968699;SFT-4=0.92724554951944;SFT-5=0.915274567985427;SFT-6=0.906000522578802,SFT-4 > SFT-5 > SFT-6 > SFT-2 > SFT-3 > SFT-1,SFT-4,YES,YES,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S3,SOURCE_DEFINED_EQ31,PC,0.75,EIS=0.028825681492109;SR=0.0576513629842181;CMI=0.0133041606886657;CS=0.0343690817790531;EU=0.10199856527977;RS=0.075390243902439;SFR=0.0144128407460545;QSS=0.0354777618364419;F=0.0543253228120517;IC=0.069846843615495;PC=0.22725;MSC=0.177388809182209,EIS=0.0339854517611026;SR=0.069103751914242;CMI=0.0147270290964778;CS=0.0453139356814701;EU=0.145004594180704;RS=0.106487748851455;SFR=0.0203912710566616;QSS=0.0487124808575804;F=0.0849636294027565;IC=0.0725022970903522;PC=0.26025;MSC=0.215241194486983,"SFT-1=[0.798501476871812,0.92366608100467];SFT-2=[0.836234186246944,0.978812783940823];SFT-3=[0.822708984398757,0.945080843799812];SFT-4=[0.850210793058753,0.999996041054239];SFT-5=[0.842389241529877,0.986110290053287];SFT-6=[0.833623435857474,0.973066502365769]",SFT-1=0.861083778938241;SFT-2=0.907523485093884;SFT-3=0.883894914099284;SFT-4=0.925103417056496;SFT-5=0.914249765791582;SFT-6=0.903344969111621,SFT-4 > SFT-5 > SFT-2 > SFT-6 > SFT-3 > SFT-1,SFT-4,YES,YES,0.333333333333333,0.866666666666667,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S4,SOURCE_DEFINED_EQ31,PC,0.65,EIS=0.0299559540889527;SR=0.0599119081779053;CMI=0.013825824964132;CS=0.0357167144906743;EU=0.105997991391679;RS=0.0783463414634146;SFR=0.0149779770444763;QSS=0.0368688665710186;F=0.0564554519368723;IC=0.072585581061693;PC=0.19695;MSC=0.184344332855093,EIS=0.0355796324655436;SR=0.0723452526799387;CMI=0.0154178407350689;CS=0.0474395099540582;EU=0.151806431852986;RS=0.111482848392037;SFR=0.0213477794793262;QSS=0.0509974732006125;F=0.0889490811638591;IC=0.0759032159264931;PC=0.22555;MSC=0.225337672281776,"SFT-1=[0.799039313577512,0.928413446714598];SFT-2=[0.834860822388456,0.983660519390657];SFT-3=[0.819985118225308,0.946569473634574];SFT-4=[0.845226532224997,0.998894874618798];SFT-5=[0.839022822135092,0.985733288132922];SFT-6=[0.828201373666891,0.97154482666489]",SFT-1=0.863726380146055;SFT-2=0.909260670889556;SFT-3=0.883277295929941;SFT-4=0.922060703421898;SFT-5=0.912378055134007;SFT-6=0.89987310016589,SFT-4 > SFT-5 > SFT-2 > SFT-6 > SFT-3 > SFT-1,SFT-4,YES,YES,0.333333333333333,0.866666666666667,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S5,SOURCE_DEFINED_EQ31,PC,0.55,EIS=0.0310862266857963;SR=0.0621724533715925;CMI=0.0143474892395983;CS=0.0370643472022956;EU=0.109997417503587;RS=0.0813024390243902;SFR=0.0155431133428981;QSS=0.0382599713055954;F=0.058585581061693;IC=0.075324318507891;PC=0.16665;MSC=0.191299856527977,EIS=0.0371738131699847;SR=0.0755867534456355;CMI=0.01610865237366;CS=0.0495650842266462;EU=0.158608269525268;RS=0.116477947932619;SFR=0.0223042879019908;QSS=0.0532824655436447;F=0.0929345329249617;IC=0.079304134762634;PC=0.19085;MSC=0.23543415007657,"SFT-1=[0.798830090393359,0.932266057041205];SFT-2=[0.832730920545724,0.987770516513158];SFT-3=[0.816541724880667,0.9471676899558];SFT-4=[0.839448994388781,0.996569291556809];SFT-5=[0.834881213929868,0.98421695892197];SFT-6=[0.822041252305879,0.968928633346762]",SFT-1=0.865548073717282;SFT-2=0.910250718529441;SFT-3=0.881854707418234;SFT-4=0.918009142972795;SFT-5=0.909549086425919;SFT-6=0.895484942826321,SFT-4 > SFT-2 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-4,YES,NO,0.666666666666667,0.733333333333333,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S6,SOURCE_DEFINED_EQ31,PC,0.45,EIS=0.0322164992826399;SR=0.0644329985652798;CMI=0.0148691535150646;CS=0.0384119799139168;EU=0.113996843615495;RS=0.0842585365853659;SFR=0.0161082496413199;QSS=0.0396510760401722;F=0.0607157101865136;IC=0.078063055954089;PC=0.13635;MSC=0.198255380200861,EIS=0.0387679938744257;SR=0.0788282542113323;CMI=0.0167994640122511;CS=0.0516906584992343;EU=0.16541010719755;RS=0.121473047473201;SFR=0.0232607963246554;QSS=0.0555674578866769;F=0.0969199846860643;IC=0.0827050535987749;PC=0.15615;MSC=0.245530627871363,"SFT-1=[0.798776849595081,0.936554693137642];SFT-2=[0.830867622698585,0.992600387641274];SFT-3=[0.813360375603803,0.948182368706316];SFT-4=[0.833921933667339,0.99438058750162];SFT-5=[0.830993240631914,0.982906396509343];SFT-6=[0.816147194127868,0.966515226953813]",SFT-1=0.867665771366362;SFT-2=0.911734005169929;SFT-3=0.880771372155059;SFT-4=0.914151260584479;SFT-5=0.906949818570628;SFT-6=0.891331210540841,SFT-4 > SFT-2 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-4,YES,NO,0.666666666666667,0.733333333333333,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S7,SOURCE_DEFINED_EQ31,PC,0.35,EIS=0.0333467718794835;SR=0.066693543758967;CMI=0.0153908177905308;CS=0.039759612625538;EU=0.117996269727403;RS=0.0872146341463415;SFR=0.0166733859397417;QSS=0.0410421807747489;F=0.0628458393113343;IC=0.0808017934002869;PC=0.10605;MSC=0.205210903873745,EIS=0.0403621745788668;SR=0.0820697549770291;CMI=0.0174902756508423;CS=0.0538162327718224;EU=0.172211944869832;RS=0.126468147013783;SFR=0.0242173047473201;QSS=0.057852450229709;F=0.100905436447167;IC=0.0861059724349158;PC=0.12145;MSC=0.255627105666156,"SFT-1=[0.798895050302798,0.941362196249083];SFT-2=[0.829274906595209,0.99826421149117];SFT-3=[0.810433459859079,0.949644863540309];SFT-4=[0.82862378059749,0.992317043192863];SFT-5=[0.827345047363923,0.981795801390958];SFT-6=[0.810496517625511,0.964292411624076]",SFT-1=0.87012862327594;SFT-2=0.913769559043189;SFT-3=0.880039161699694;SFT-4=0.910470411895177;SFT-5=0.90457042437744;SFT-6=0.887394464624794,SFT-2 > SFT-4 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-2,NO,NO,1,0.6,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S8,SOURCE_DEFINED_EQ31,PC,0.25,EIS=0.0344770444763271;SR=0.0689540889526542;CMI=0.0159124820659971;CS=0.0411072453371593;EU=0.121995695839311;RS=0.0901707317073171;SFR=0.0172385222381636;QSS=0.0424332855093257;F=0.0649759684361549;IC=0.0835405308464849;PC=0.07575;MSC=0.212166427546628,EIS=0.0419563552833078;SR=0.0853112557427259;CMI=0.0181810872894334;CS=0.0559418070444104;EU=0.179013782542113;RS=0.131463246554364;SFR=0.0251738131699847;QSS=0.0601374425727412;F=0.10489088820827;IC=0.0895068912710567;PC=0.08675;MSC=0.265723583460949,"SFT-1=[0.796708947053487,0.94278382419191];SFT-2=[0.825188835597862,0.999981977601155];SFT-3=[0.805196788221456,0.947311141519786];SFT-4=[0.820803292024431,0.985538417261213];SFT-5=[0.821191136250395,0.976183960980276];SFT-6=[0.802541398577804,0.957713638963711]",SFT-1=0.869746385622698;SFT-2=0.912585406599509;SFT-3=0.876253964870621;SFT-4=0.903170854642822;SFT-5=0.898687548615335;SFT-6=0.880127518770757,SFT-2 > SFT-4 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-2,NO,NO,1,0.6,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S9,SOURCE_DEFINED_EQ31,PC,0.15,EIS=0.0356073170731707;SR=0.0712146341463415;CMI=0.0164341463414634;CS=0.0424548780487805;EU=0.12599512195122;RS=0.0931268292682927;SFR=0.0178036585365854;QSS=0.0438243902439024;F=0.0671060975609756;IC=0.0862792682926829;PC=0.04545;MSC=0.219121951219512,EIS=0.0435505359877488;SR=0.0885527565084226;CMI=0.0188718989280245;CS=0.0580673813169985;EU=0.185815620214395;RS=0.136458346094946;SFR=0.0261303215926493;QSS=0.0624224349157733;F=0.108876339969372;IC=0.0929078101071975;PC=0.05205;MSC=0.275820061255743,"SFT-1=[0.793515569091261,0.942695233189867];SFT-2=[0.820019156795386,0.999988466623769];SFT-3=[0.798979524296901,0.943184048323046];SFT-4=[0.811920915560582,0.976414895433433];SFT-5=[0.813955892512396,0.968339698832345];SFT-6=[0.793649804077446,0.948994948181371]",SFT-1=0.868105401140564;SFT-2=0.910003811709577;SFT-3=0.871081786309974;SFT-4=0.894167905497007;SFT-5=0.89114779567237;SFT-6=0.871322376129409,SFT-2 > SFT-4 > SFT-5 > SFT-6 > SFT-3 > SFT-1,SFT-2,NO,NO,1,0.6,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
S10,SOURCE_DEFINED_EQ31,PC,0.05,EIS=0.0367375896700143;SR=0.0734751793400287;CMI=0.0169558106169297;CS=0.0438025107604017;EU=0.129994548063128;RS=0.0960829268292683;SFR=0.0183687948350072;QSS=0.0452154949784792;F=0.0692362266857963;IC=0.0890180057388809;PC=0.01515;MSC=0.226077474892396,EIS=0.0451447166921899;SR=0.0917942572741194;CMI=0.0195627105666156;CS=0.0601929555895865;EU=0.192617457886677;RS=0.141453445635528;SFR=0.0270868300153139;QSS=0.0647074272588055;F=0.112861791730475;IC=0.0963087289433384;PC=0.01735;MSC=0.285916539050536,"SFT-1=[0.790197937650845,0.942494467343051];SFT-2=[0.814731431004721,0.999995907881072];SFT-3=[0.792677102634739,0.93871623856011];SFT-4=[0.802946764082776,0.966612896728399];SFT-5=[0.80659742010317,0.959868848365856];SFT-6=[0.784722958547626,0.939694364083624]",SFT-1=0.866346202496948;SFT-2=0.907363669442897;SFT-3=0.865696670597425;SFT-4=0.884779830405588;SFT-5=0.883233134234513;SFT-6=0.862208661315625,SFT-2 > SFT-4 > SFT-5 > SFT-1 > SFT-3 > SFT-6,SFT-2,NO,NO,1.66666666666667,0.2,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
