source_label,criterion,native_criterion_order_index,mapping_source
C1,RS,6,NP04_Cao_2024 sensitivity workbook criterion headers + documented NP04 extraction; mapping fixed before downstream comparison
C2,IC,10,NP04_Cao_2024 sensitivity workbook criterion headers + documented NP04 extraction; mapping fixed before downstream comparison
C3,SFR,7,NP04_Cao_2024 sensitivity workbook criterion headers + documented NP04 extraction; mapping fixed before downstream comparison
C4,EU,5,NP04_Cao_2024 sensitivity workbook criterion headers + documented NP04 extraction; mapping fixed before downstream comparison
C5,EIS,1,NP04_Cao_2024 sensitivity workbook criterion headers + documented NP04 extraction; mapping fixed before downstream comparison
C6,SR,2,NP04_Cao_2024 sensitivity workbook criterion headers + documented NP04 extraction; mapping fixed before downstream comparison
C7,PC,11,NP04_Cao_2024 sensitivity workbook criterion headers + documented NP04 extraction; mapping fixed before downstream comparison
C8,F,9,NP04_Cao_2024 sensitivity workbook criterion headers + documented NP04 extraction; mapping fixed before downstream comparison
C9,CMI,3,NP04_Cao_2024 sensitivity workbook criterion headers + documented NP04 extraction; mapping fixed before downstream comparison
C10,QSS,8,NP04_Cao_2024 sensitivity workbook criterion headers + documented NP04 extraction; mapping fixed before downstream comparison
C11,MSC,12,NP04_Cao_2024 sensitivity workbook criterion headers + documented NP04 extraction; mapping fixed before downstream comparison
C12,CS,4,NP04_Cao_2024 sensitivity workbook criterion headers + documented NP04 extraction; mapping fixed before downstream comparison
