q_v,alternative,S,R,Q,Q_competition_rank,complete_Q_weak_order,native_recommendation_set,baseline_q050_recommendation_set_exactly_retained,A2_in_recommendation_set,DQ,C1_acceptable_advantage,C2_acceptable_stability,MARD_vs_q050,Kendall_tau_b_vs_q050,source_comparison_status
0.00,A1,0.574053309407356,0.1,1,2,"A2 > {A1,A3}",A2,YES,YES,0.5,TRUE,TRUE,0.333333333333333,0.816496580927726,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
0.00,A2,0.0830730919370036,0.059079283887468,0,1,"A2 > {A1,A3}",A2,YES,YES,0.5,TRUE,TRUE,0.333333333333333,0.816496580927726,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
0.00,A3,0.870833333333333,0.1,1,2,"A2 > {A1,A3}",A2,YES,YES,0.5,TRUE,TRUE,0.333333333333333,0.816496580927726,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
0.25,A1,0.574053309407356,0.1,0.905815244178887,2,A2 > A1 > A3,A2,YES,YES,0.5,TRUE,TRUE,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
0.25,A2,0.0830730919370036,0.059079283887468,0,1,A2 > A1 > A3,A2,YES,YES,0.5,TRUE,TRUE,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
0.25,A3,0.870833333333333,0.1,1,3,A2 > A1 > A3,A2,YES,YES,0.5,TRUE,TRUE,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
0.50,A1,0.574053309407356,0.1,0.811630488357774,2,A2 > A1 > A3,A2,YES,YES,0.5,TRUE,TRUE,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
0.50,A2,0.0830730919370036,0.059079283887468,0,1,A2 > A1 > A3,A2,YES,YES,0.5,TRUE,TRUE,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
0.50,A3,0.870833333333333,0.1,1,3,A2 > A1 > A3,A2,YES,YES,0.5,TRUE,TRUE,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
0.75,A1,0.574053309407356,0.1,0.717445732536661,2,A2 > A1 > A3,A2,YES,YES,0.5,TRUE,TRUE,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
0.75,A2,0.0830730919370036,0.059079283887468,0,1,A2 > A1 > A3,A2,YES,YES,0.5,TRUE,TRUE,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
0.75,A3,0.870833333333333,0.1,1,3,A2 > A1 > A3,A2,YES,YES,0.5,TRUE,TRUE,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
1.00,A1,0.574053309407356,0.1,0.623260976715548,2,A2 > A1 > A3,A2,YES,YES,0.5,TRUE,TRUE,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
1.00,A2,0.0830730919370036,0.059079283887468,0,1,A2 > A1 > A3,A2,YES,YES,0.5,TRUE,TRUE,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
1.00,A3,0.870833333333333,0.1,1,3,A2 > A1 > A3,A2,YES,YES,0.5,TRUE,TRUE,0,1,DOCUMENTED_SOURCE_COMPARISON_AVAILABLE
